person,block,condition,trial,attempt,id,item_class,x,y
1,conj_AB,cond_conj_AB,2,1,1,dist_class2,-480.0,-452.0
1,conj_AB,cond_conj_AB,2,1,2,targ_class2,-319.0,-445.0
1,conj_AB,cond_conj_AB,2,1,3,targ_class2,-199.0,-399.0
1,conj_AB,cond_conj_AB,2,1,4,dist_class1,-42.0,-380.0
1,conj_AB,cond_conj_AB,2,1,5,targ_class1,71.0,-434.0
1,conj_AB,cond_conj_AB,2,1,6,targ_class1,219.0,-395.0
1,conj_AB,cond_conj_AB,2,1,7,dist_class2,287.0,-420.0
1,conj_AB,cond_conj_AB,2,1,8,dist_class2,461.0,-440.0
1,conj_AB,cond_conj_AB,2,1,9,dist_class1,-447.0,-224.0
1,conj_AB,cond_conj_AB,2,1,10,targ_class2,-310.0,-199.0
1,conj_AB,cond_conj_AB,2,1,11,dist_class1,-231.0,-224.0
1,conj_AB,cond_conj_AB,2,1,12,dist_class2,-38.0,-231.0
1,conj_AB,cond_conj_AB,2,1,13,targ_class1,43.0,-216.0
1,conj_AB,cond_conj_AB,2,1,14,targ_class2,198.0,-256.0
1,conj_AB,cond_conj_AB,2,1,15,dist_class2,331.0,-226.0
1,conj_AB,cond_conj_AB,2,1,16,targ_class1,482.0,-187.0
1,conj_AB,cond_conj_AB,2,1,17,targ_class2,-457.0,-31.0
1,conj_AB,cond_conj_AB,2,1,18,targ_class2,-351.0,-23.0
1,conj_AB,cond_conj_AB,2,1,19,dist_class1,-205.0,20.0
1,conj_AB,cond_conj_AB,2,1,20,dist_class2,-53.0,-21.0
1,conj_AB,cond_conj_AB,2,1,21,dist_class2,59.0,0.0
1,conj_AB,cond_conj_AB,2,1,22,dist_class1,186.0,-11.0
1,conj_AB,cond_conj_AB,2,1,23,targ_class1,261.0,-20.0
1,conj_AB,cond_conj_AB,2,1,24,targ_class2,428.0,-5.0
1,conj_AB,cond_conj_AB,2,1,25,dist_class2,-435.0,227.0
1,conj_AB,cond_conj_AB,2,1,26,targ_class1,-339.0,198.0
1,conj_AB,cond_conj_AB,2,1,27,dist_class2,-182.0,196.0
1,conj_AB,cond_conj_AB,2,1,28,targ_class1,-71.0,231.0
1,conj_AB,cond_conj_AB,2,1,29,dist_class1,50.0,212.0
1,conj_AB,cond_conj_AB,2,1,30,targ_class1,174.0,207.0
1,conj_AB,cond_conj_AB,2,1,31,dist_class1,292.0,245.0
1,conj_AB,cond_conj_AB,2,1,32,dist_class2,470.0,235.0
1,conj_AB,cond_conj_AB,2,1,33,targ_class2,-443.0,417.0
1,conj_AB,cond_conj_AB,2,1,34,dist_class1,-308.0,429.0
1,conj_AB,cond_conj_AB,2,1,35,targ_class1,-201.0,412.0
1,conj_AB,cond_conj_AB,2,1,36,targ_class2,-63.0,436.0
1,conj_AB,cond_conj_AB,2,1,37,dist_class1,43.0,416.0
1,conj_AB,cond_conj_AB,2,1,38,dist_class1,195.0,427.0
1,conj_AB,cond_conj_AB,2,1,39,targ_class2,341.0,414.0
1,conj_AB,cond_conj_AB,2,1,40,targ_class1,454.0,411.0
1,conj_AB,cond_conj_AB,5,1,1,dist_class2,-472.0,-421.0
1,conj_AB,cond_conj_AB,5,1,2,targ_class2,-344.0,-436.0
1,conj_AB,cond_conj_AB,5,1,3,dist_class1,-199.0,-455.0
1,conj_AB,cond_conj_AB,5,1,4,dist_class2,-38.0,-454.0
1,conj_AB,cond_conj_AB,5,1,5,dist_class2,43.0,-441.0
1,conj_AB,cond_conj_AB,5,1,6,dist_class1,189.0,-418.0
1,conj_AB,cond_conj_AB,5,1,7,targ_class1,325.0,-433.0
1,conj_AB,cond_conj_AB,5,1,8,targ_class1,426.0,-440.0
1,conj_AB,cond_conj_AB,5,1,9,targ_class1,-463.0,-223.0
1,conj_AB,cond_conj_AB,5,1,10,dist_class2,-314.0,-213.0
1,conj_AB,cond_conj_AB,5,1,11,targ_class2,-180.0,-199.0
1,conj_AB,cond_conj_AB,5,1,12,dist_class1,-92.0,-213.0
1,conj_AB,cond_conj_AB,5,1,13,dist_class2,54.0,-193.0
1,conj_AB,cond_conj_AB,5,1,14,dist_class1,188.0,-220.0
1,conj_AB,cond_conj_AB,5,1,15,targ_class1,297.0,-233.0
1,conj_AB,cond_conj_AB,5,1,16,targ_class2,437.0,-221.0
1,conj_AB,cond_conj_AB,5,1,17,dist_class1,-433.0,-29.0
1,conj_AB,cond_conj_AB,5,1,18,dist_class2,-333.0,-15.0
1,conj_AB,cond_conj_AB,5,1,19,dist_class1,-217.0,-1.0
1,conj_AB,cond_conj_AB,5,1,20,targ_class2,-75.0,-3.0
1,conj_AB,cond_conj_AB,5,1,21,targ_class1,56.0,6.0
1,conj_AB,cond_conj_AB,5,1,22,targ_class2,198.0,8.0
1,conj_AB,cond_conj_AB,5,1,23,dist_class1,304.0,-2.0
1,conj_AB,cond_conj_AB,5,1,24,targ_class1,473.0,-0.0
1,conj_AB,cond_conj_AB,5,1,25,targ_class2,-475.0,230.0
1,conj_AB,cond_conj_AB,5,1,26,targ_class2,-321.0,198.0
1,conj_AB,cond_conj_AB,5,1,27,targ_class1,-174.0,228.0
1,conj_AB,cond_conj_AB,5,1,28,dist_class2,-48.0,208.0
1,conj_AB,cond_conj_AB,5,1,29,targ_class1,85.0,222.0
1,conj_AB,cond_conj_AB,5,1,30,dist_class2,168.0,206.0
1,conj_AB,cond_conj_AB,5,1,31,targ_class2,352.0,218.0
1,conj_AB,cond_conj_AB,5,1,32,dist_class2,471.0,230.0
1,conj_AB,cond_conj_AB,5,1,33,targ_class2,-472.0,432.0
1,conj_AB,cond_conj_AB,5,1,34,targ_class1,-335.0,442.0
1,conj_AB,cond_conj_AB,5,1,35,targ_class1,-189.0,474.0
1,conj_AB,cond_conj_AB,5,1,36,dist_class2,-51.0,440.0
1,conj_AB,cond_conj_AB,5,1,37,dist_class1,68.0,427.0
1,conj_AB,cond_conj_AB,5,1,38,dist_class1,194.0,420.0
1,conj_AB,cond_conj_AB,5,1,39,dist_class1,365.0,450.0
1,conj_AB,cond_conj_AB,5,1,40,targ_class2,435.0,406.0
1,conj_AB,cond_conj_AB,3,1,1,dist_class2,-471.0,-431.0
1,conj_AB,cond_conj_AB,3,1,2,dist_class1,-335.0,-443.0
1,conj_AB,cond_conj_AB,3,1,3,dist_class2,-213.0,-417.0
1,conj_AB,cond_conj_AB,3,1,4,targ_class2,-66.0,-403.0
1,conj_AB,cond_conj_AB,3,1,5,dist_class1,68.0,-430.0
1,conj_AB,cond_conj_AB,3,1,6,targ_class2,213.0,-431.0
1,conj_AB,cond_conj_AB,3,1,7,dist_class2,338.0,-426.0
1,conj_AB,cond_conj_AB,3,1,8,dist_class2,463.0,-434.0
1,conj_AB,cond_conj_AB,3,1,9,targ_class2,-447.0,-228.0
1,conj_AB,cond_conj_AB,3,1,10,dist_class1,-339.0,-202.0
1,conj_AB,cond_conj_AB,3,1,11,dist_class2,-211.0,-237.0
1,conj_AB,cond_conj_AB,3,1,12,targ_class1,-72.0,-223.0
1,conj_AB,cond_conj_AB,3,1,13,targ_class1,32.0,-204.0
1,conj_AB,cond_conj_AB,3,1,14,targ_class1,183.0,-223.0
1,conj_AB,cond_conj_AB,3,1,15,targ_class1,330.0,-248.0
1,conj_AB,cond_conj_AB,3,1,16,dist_class1,466.0,-213.0
1,conj_AB,cond_conj_AB,3,1,17,dist_class1,-459.0,28.0
1,conj_AB,cond_conj_AB,3,1,18,dist_class1,-324.0,35.0
1,conj_AB,cond_conj_AB,3,1,19,dist_class1,-201.0,-22.0
