person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
2,feature_A,cond_feature_A,6,1,19,1,1,targ_class1,-208.0,29.0,5.17
2,feature_A,cond_feature_A,6,1,13,2,2,targ_class1,50.0,-191.0,6.12
2,feature_A,cond_feature_A,6,1,14,3,3,targ_class1,177.0,-203.0,6.82
2,feature_A,cond_feature_A,6,1,7,4,4,targ_class1,340.0,-417.0,7.55
2,feature_A,cond_feature_A,6,1,3,5,5,targ_class1,-162.0,-411.0,8.62
2,feature_A,cond_feature_A,6,1,4,6,6,targ_class2,-43.0,-413.0,9.32
2,feature_A,cond_feature_A,6,1,12,7,7,targ_class2,-78.0,-189.0,10.05
2,feature_A,cond_feature_A,6,1,16,8,8,targ_class2,442.0,-233.0,10.99
2,feature_A,cond_feature_A,6,1,23,9,9,targ_class2,342.0,-4.0,11.75
2,feature_A,cond_feature_A,6,1,21,10,10,targ_class2,77.0,4.0,12.49
2,feature_A,cond_feature_A,6,1,17,11,11,targ_class2,-439.0,-11.0,13.62
2,feature_A,cond_feature_A,6,1,25,12,12,targ_class2,-421.0,190.0,14.59
2,feature_A,cond_feature_A,6,1,26,13,13,targ_class2,-324.0,189.0,15.37
2,feature_A,cond_feature_A,6,1,34,14,14,targ_class2,-311.0,389.0,16.17
2,feature_A,cond_feature_A,6,1,28,15,15,targ_class2,-49.0,162.0,17.07
2,feature_A,cond_feature_A,6,1,36,16,16,targ_class2,-43.0,452.0,17.95
2,feature_A,cond_feature_A,6,1,37,17,17,targ_class2,57.0,413.0,18.65
2,feature_A,cond_feature_A,6,1,38,18,18,targ_class2,167.0,415.0,19.7
2,feature_A,cond_feature_A,6,1,31,19,19,targ_class2,315.0,236.0,21.03
2,feature_A,cond_feature_A,6,1,32,20,20,targ_class2,481.0,239.0,21.8
2,feature_A,cond_feature_A,0,1,35,1,1,targ_class2,-206.0,460.0,2.05
2,feature_A,cond_feature_A,0,1,36,2,2,targ_class2,-57.0,421.0,3.02
2,feature_A,cond_feature_A,0,1,28,3,3,targ_class2,-75.0,213.0,4.15
2,feature_A,cond_feature_A,0,1,29,4,4,targ_class2,40.0,184.0,5.22
2,feature_A,cond_feature_A,0,1,31,5,5,targ_class2,313.0,215.0,6.28
2,feature_A,cond_feature_A,0,1,40,6,6,targ_class2,450.0,393.0,6.99
2,feature_A,cond_feature_A,0,1,33,7,7,targ_class2,-443.0,435.0,8.35
2,feature_A,cond_feature_A,0,1,25,8,8,targ_class2,-489.0,217.0,9.28
2,feature_A,cond_feature_A,0,1,26,9,9,targ_class2,-315.0,214.0,10.32
2,feature_A,cond_feature_A,0,1,19,10,10,targ_class2,-223.0,9.0,11.45
2,feature_A,cond_feature_A,0,1,13,11,11,targ_class2,61.0,-182.0,12.42
2,feature_A,cond_feature_A,0,1,14,12,12,targ_class2,189.0,-227.0,13.22
2,feature_A,cond_feature_A,0,1,5,13,13,targ_class2,42.0,-403.0,14.35
2,feature_A,cond_feature_A,0,1,4,14,14,targ_class2,-65.0,-441.0,15.17
2,feature_A,cond_feature_A,0,1,7,15,15,targ_class2,342.0,-431.0,16.08
2,feature_A,cond_feature_A,0,1,6,16,16,targ_class1,221.0,-404.0,16.88
2,feature_A,cond_feature_A,0,1,30,17,17,targ_class1,165.0,212.0,18.25
2,feature_A,cond_feature_A,0,1,23,18,18,targ_class1,333.0,-51.0,19.05
2,feature_A,cond_feature_A,0,1,12,19,19,targ_class1,-113.0,-234.0,20.18
2,feature_A,cond_feature_A,0,1,9,20,20,targ_class1,-474.0,-205.0,21.13
2,feature_A,cond_feature_A,9,1,34,1,1,targ_class2,-319.0,445.0,3.35
2,feature_A,cond_feature_A,9,1,27,2,2,targ_class2,-191.0,212.0,4.28
2,feature_A,cond_feature_A,9,1,25,3,3,targ_class2,-459.0,216.0,5.42
2,feature_A,cond_feature_A,9,1,10,4,4,targ_class2,-380.0,-184.0,6.52
2,feature_A,cond_feature_A,9,1,20,5,5,targ_class2,-48.0,-15.0,7.35
2,feature_A,cond_feature_A,9,1,13,6,6,targ_class2,82.0,-216.0,7.98
2,feature_A,cond_feature_A,9,1,14,7,7,targ_class2,181.0,-187.0,9.22
2,feature_A,cond_feature_A,9,1,22,8,8,targ_class2,192.0,12.0,9.95
2,feature_A,cond_feature_A,9,1,38,9,9,targ_class2,194.0,427.0,11.22
2,feature_A,cond_feature_A,9,1,40,10,10,targ_class2,473.0,407.0,12.25
2,feature_A,cond_feature_A,9,1,16,11,11,targ_class2,455.0,-221.0,13.25
2,feature_A,cond_feature_A,9,1,8,12,12,targ_class2,466.0,-410.0,13.78
2,feature_A,cond_feature_A,9,1,6,13,13,targ_class2,222.0,-446.0,14.65
2,feature_A,cond_feature_A,9,1,5,14,14,targ_class2,56.0,-460.0,15.57
2,feature_A,cond_feature_A,9,1,3,15,15,targ_class2,-192.0,-440.0,16.61
2,feature_A,cond_feature_A,9,1,4,16,16,targ_class1,-67.0,-365.0,17.58
2,feature_A,cond_feature_A,9,1,19,17,17,targ_class1,-201.0,-21.0,18.68
2,feature_A,cond_feature_A,9,1,32,18,18,targ_class1,451.0,219.0,19.65
2,feature_A,cond_feature_A,9,1,39,19,19,targ_class1,312.0,446.0,20.48
2,feature_A,cond_feature_A,9,1,37,20,20,targ_class1,44.0,417.0,21.9
2,feature_A,cond_feature_A,8,1,34,1,1,targ_class1,-322.0,421.0,1.99
2,feature_A,cond_feature_A,8,1,17,2,2,targ_class1,-467.0,-23.0,3.18
2,feature_A,cond_feature_A,8,1,3,3,3,targ_class1,-167.0,-444.0,4.05
2,feature_A,cond_feature_A,8,1,6,4,4,targ_class1,191.0,-443.0,5.18
2,feature_A,cond_feature_A,8,1,40,5,5,targ_class1,436.0,427.0,6.62
2,feature_A,cond_feature_A,8,1,35,6,6,targ_class2,-208.0,429.0,7.92
2,feature_A,cond_feature_A,8,1,36,7,7,targ_class2,-67.0,362.0,9.75
2,feature_A,cond_feature_A,8,1,37,8,8,targ_class2,99.0,430.0,10.75
2,feature_A,cond_feature_A,8,1,28,9,9,targ_class2,-49.0,244.0,11.35
2,feature_A,cond_feature_A,8,1,29,10,10,targ_class2,77.0,252.0,11.98
2,feature_A,cond_feature_A,8,1,30,11,11,targ_class2,179.0,222.0,12.88
2,feature_A,cond_feature_A,8,1,31,12,12,targ_class2,334.0,208.0,13.48
2,feature_A,cond_feature_A,8,1,32,13,13,targ_class2,466.0,206.0,14.15
2,feature_A,cond_feature_A,8,1,24,14,14,targ_class2,440.0,-46.0,14.9
2,feature_A,cond_feature_A,8,1,22,15,15,targ_class2,227.0,-3.0,15.68
2,feature_A,cond_feature_A,8,1,19,16,16,targ_class2,-190.0,25.0,16.9
2,feature_A,cond_feature_A,8,1,12,17,17,targ_class2,-68.0,-216.0,17.78
2,feature_A,cond_feature_A,8,1,5,18,18,targ_class2,87.0,-435.0,18.9
2,feature_A,cond_feature_A,8,1,10,19,19,targ_class2,-316.0,-238.0,19.96
2,feature_A,cond_feature_A,8,1,9,20,20,targ_class2,-427.0,-214.0,20.98
2,feature_A,cond_feature_A,7,1,36,1,1,targ_class1,-104.0,463.0,2.24
2,feature_A,cond_feature_A,7,1,35,2,2,targ_class1,-180.0,412.0,3.34
2,feature_A,cond_feature_A,7,1,27,3,3,targ_class1,-176.0,186.0,4.43
2,feature_A,cond_feature_A,7,1,5,4,4,targ_class1,71.0,-409.0,5.4
2,feature_A,cond_feature_A,7,1,1,5,5,targ_class1,-448.0,-447.0,6.47
2,feature_A,cond_feature_A,7,1,9,6,6,targ_class2,-501.0,-207.0,7.13
2,feature_A,cond_feature_A,7,1,10,7,7,targ_class2,-326.0,-186.0,7.97
2,feature_A,cond_feature_A,7,1,17,8,8,targ_class2,-451.0,-2.0,8.87
2,feature_A,cond_feature_A,7,1,19,9,9,targ_class2,-210.0,-7.0,9.77
