person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
15,practice,cond_prac,0,1,25,1,1,targ_class2,-437.0,207.0,2.69
15,practice,cond_prac,0,1,26,2,2,targ_class1,-331.0,197.0,3.55
15,practice,cond_prac,0,1,34,3,3,targ_class1,-328.0,417.0,4.99
15,practice,cond_prac,0,1,33,4,4,targ_class1,-450.0,430.0,5.59
15,practice,cond_prac,0,1,37,5,5,targ_class2,98.0,408.0,6.29
15,practice,cond_prac,0,1,38,6,6,targ_class1,184.0,440.0,6.89
15,practice,cond_prac,0,1,39,7,7,targ_class2,332.0,391.0,7.55
15,practice,cond_prac,0,1,28,8,8,targ_class2,-77.0,209.0,8.42
15,practice,cond_prac,0,1,20,9,9,targ_class2,-47.0,8.0,9.39
15,practice,cond_prac,0,1,18,10,10,targ_class1,-317.0,-14.0,10.35
15,practice,cond_prac,0,1,9,11,11,targ_class1,-458.0,-228.0,11.02
15,practice,cond_prac,0,1,1,12,12,targ_class1,-433.0,-437.0,11.52
15,practice,cond_prac,0,1,2,13,13,targ_class2,-331.0,-446.0,11.98
15,practice,cond_prac,0,1,3,14,14,targ_class2,-238.0,-419.0,12.42
15,practice,cond_prac,0,1,4,15,15,targ_class2,-51.0,-418.0,14.32
15,practice,cond_prac,0,1,15,16,16,targ_class2,310.0,-225.0,15.12
15,practice,cond_prac,0,1,8,17,17,targ_class1,468.0,-392.0,16.43
15,practice,cond_prac,0,1,16,18,18,targ_class2,452.0,-211.0,17.02
15,practice,cond_prac,0,1,24,19,19,targ_class1,430.0,5.0,17.55
15,practice,cond_prac,0,1,23,20,20,targ_class1,314.0,21.0,19.03
15,conj_AB,cond_conj_AB,4,1,33,1,1,targ_class1,-417.0,411.0,6.7
15,conj_AB,cond_conj_AB,4,1,25,2,2,targ_class1,-456.0,194.0,8.33
15,conj_AB,cond_conj_AB,4,1,27,3,3,targ_class1,-196.0,249.0,8.83
15,conj_AB,cond_conj_AB,4,1,37,4,4,targ_class1,69.0,379.0,10.5
15,conj_AB,cond_conj_AB,4,1,39,5,5,targ_class2,339.0,436.0,11.3
15,conj_AB,cond_conj_AB,4,1,40,6,6,targ_class1,472.0,451.0,12.27
15,conj_AB,cond_conj_AB,4,1,31,7,7,targ_class1,344.0,234.0,13.03
15,conj_AB,cond_conj_AB,4,1,32,8,8,targ_class2,506.0,197.0,13.93
15,conj_AB,cond_conj_AB,4,1,23,9,9,targ_class2,348.0,1.0,16.33
15,conj_AB,cond_conj_AB,4,1,22,10,10,targ_class2,205.0,-26.0,17.27
15,conj_AB,cond_conj_AB,4,1,21,11,11,targ_class1,102.0,-17.0,18.0
15,conj_AB,cond_conj_AB,4,1,29,12,12,targ_class1,72.0,217.0,19.0
15,conj_AB,cond_conj_AB,4,1,14,13,13,targ_class1,195.0,-224.0,19.83
15,conj_AB,cond_conj_AB,4,1,13,14,14,targ_class2,52.0,-206.0,20.7
15,conj_AB,cond_conj_AB,4,1,12,15,15,targ_class2,-56.0,-206.0,21.15
15,conj_AB,cond_conj_AB,4,1,11,16,16,targ_class2,-212.0,-225.0,21.55
15,conj_AB,cond_conj_AB,4,1,5,17,17,targ_class2,49.0,-420.0,22.41
15,conj_AB,cond_conj_AB,4,1,8,18,18,targ_class1,457.0,-426.0,25.48
15,conj_AB,cond_conj_AB,4,1,2,19,19,targ_class2,-342.0,-430.0,27.98
15,conj_AB,cond_conj_AB,4,1,1,20,20,targ_class2,-455.0,-415.0,28.4
15,conj_AB,cond_conj_AB,3,1,34,1,1,targ_class2,-376.0,425.0,3.3
15,conj_AB,cond_conj_AB,3,1,35,2,2,targ_class2,-154.0,456.0,4.04
15,conj_AB,cond_conj_AB,3,1,33,3,3,targ_class1,-456.0,423.0,4.77
15,conj_AB,cond_conj_AB,3,1,36,4,4,targ_class1,-39.0,434.0,6.1
15,conj_AB,cond_conj_AB,3,1,37,5,5,targ_class2,50.0,428.0,6.64
15,conj_AB,cond_conj_AB,3,1,39,6,6,targ_class1,310.0,409.0,7.34
15,conj_AB,cond_conj_AB,3,1,32,7,7,targ_class2,464.0,230.0,8.0
15,conj_AB,cond_conj_AB,3,1,31,8,8,targ_class2,324.0,194.0,8.57
15,conj_AB,cond_conj_AB,3,1,27,9,9,targ_class1,-186.0,172.0,9.97
15,conj_AB,cond_conj_AB,3,1,18,10,10,targ_class2,-332.0,24.0,11.6
15,conj_AB,cond_conj_AB,3,1,19,11,11,targ_class1,-190.0,-40.0,12.27
15,conj_AB,cond_conj_AB,3,1,21,12,12,targ_class2,75.0,26.0,13.4
15,conj_AB,cond_conj_AB,3,1,22,13,13,targ_class1,206.0,6.0,14.43
15,conj_AB,cond_conj_AB,3,1,12,14,14,targ_class1,-74.0,-174.0,15.2
15,conj_AB,cond_conj_AB,3,1,9,15,15,targ_class1,-461.0,-198.0,16.05
15,conj_AB,cond_conj_AB,3,1,11,16,16,targ_class2,-218.0,-243.0,17.63
15,conj_AB,cond_conj_AB,3,1,7,17,17,targ_class1,283.0,-433.0,19.77
15,conj_AB,cond_conj_AB,3,1,5,18,18,targ_class2,86.0,-414.0,20.95
15,conj_AB,cond_conj_AB,3,1,3,19,19,targ_class1,-186.0,-424.0,22.86
15,conj_AB,cond_conj_AB,3,1,2,20,20,targ_class2,-315.0,-422.0,25.75
15,conj_AB,cond_conj_AB,6,1,36,0,0,dist_class1,-53.0,440.0,3.24
15,conj_AB,cond_conj_AB,6,2,36,1,1,targ_class2,-33.0,400.0,7.84
15,conj_AB,cond_conj_AB,6,2,25,2,2,targ_class1,-475.0,247.0,9.7
15,conj_AB,cond_conj_AB,6,2,26,3,3,targ_class1,-373.0,244.0,10.37
15,conj_AB,cond_conj_AB,6,2,27,4,4,targ_class1,-207.0,210.0,10.97
15,conj_AB,cond_conj_AB,6,2,28,5,5,targ_class1,-102.0,211.0,11.53
15,conj_AB,cond_conj_AB,6,2,29,6,6,targ_class2,55.0,171.0,12.3
15,conj_AB,cond_conj_AB,6,2,30,7,7,targ_class2,196.0,234.0,13.2
15,conj_AB,cond_conj_AB,6,2,31,8,8,targ_class2,322.0,225.0,13.73
15,conj_AB,cond_conj_AB,6,2,23,9,9,targ_class1,281.0,-17.0,16.23
15,conj_AB,cond_conj_AB,6,2,19,10,10,targ_class2,-203.0,-5.0,16.87
15,conj_AB,cond_conj_AB,6,2,18,11,11,targ_class2,-333.0,73.0,17.43
15,conj_AB,cond_conj_AB,6,2,9,12,12,targ_class1,-485.0,-239.0,19.93
15,conj_AB,cond_conj_AB,6,2,17,13,13,targ_class1,-503.0,2.0,20.53
15,conj_AB,cond_conj_AB,6,2,10,14,14,targ_class2,-354.0,-215.0,21.17
15,conj_AB,cond_conj_AB,6,2,12,15,15,targ_class2,-61.0,-195.0,21.9
15,conj_AB,cond_conj_AB,6,2,13,16,16,targ_class1,55.0,-204.0,22.42
15,conj_AB,cond_conj_AB,6,2,14,17,17,targ_class1,166.0,-219.0,23.05
15,conj_AB,cond_conj_AB,6,2,8,18,18,targ_class1,493.0,-417.0,25.38
15,conj_AB,cond_conj_AB,6,2,7,19,19,targ_class2,302.0,-478.0,26.96
15,conj_AB,cond_conj_AB,6,2,2,20,20,targ_class2,-278.0,-428.0,28.03
15,conj_AB,cond_conj_AB,2,1,34,1,1,targ_class1,-337.0,438.0,3.47
15,conj_AB,cond_conj_AB,2,1,35,2,2,targ_class1,-183.0,428.0,4.74
15,conj_AB,cond_conj_AB,2,1,39,3,3,targ_class1,343.0,404.0,5.5
15,conj_AB,cond_conj_AB,2,1,32,4,4,targ_class1,452.0,209.0,6.4
15,conj_AB,cond_conj_AB,2,1,27,5,5,targ_class1,-159.0,225.0,8.07
15,conj_AB,cond_conj_AB,2,1,25,6,6,targ_class2,-459.0,216.0,8.7
15,conj_AB,cond_conj_AB,2,1,17,7,7,targ_class1,-443.0,34.0,10.07
15,conj_AB,cond_conj_AB,2,1,19,8,8,targ_class2,-194.0,-7.0,10.9
15,conj_AB,cond_conj_AB,2,1,20,9,9,targ_class2,-70.0,7.0,11.47
15,conj_AB,cond_conj_AB,2,1,24,10,10,targ_class1,409.0,1.0,12.47
15,conj_AB,cond_conj_AB,2,1,16,11,11,targ_class2,437.0,-227.0,13.2
15,conj_AB,cond_conj_AB,2,1,13,12,12,targ_class2,89.0,-210.0,14.03
15,conj_AB,cond_conj_AB,2,1,12,13,13,targ_class2,-90.0,-221.0,14.67
15,conj_AB,cond_conj_AB,2,1,11,14,14,targ_class1,-172.0,-211.0,15.23
15,conj_AB,cond_conj_AB,2,1,9,15,15,targ_class1,-456.0,-213.0,15.83
15,conj_AB,cond_conj_AB,2,1,10,16,16,targ_class2,-289.0,-208.0,16.83
15,conj_AB,cond_conj_AB,2,1,4,17,17,targ_class1,-67.0,-413.0,17.48
15,conj_AB,cond_conj_AB,2,1,5,18,18,targ_class2,60.0,-440.0,18.1
15,conj_AB,cond_conj_AB,2,1,7,19,19,targ_class2,317.0,-448.0,19.78
15,conj_AB,cond_conj_AB,2,1,8,20,20,targ_class2,437.0,-440.0,20.26
15,conj_AB,cond_conj_AB,9,1,33,1,1,targ_class1,-472.0,424.0,1.14
15,conj_AB,cond_conj_AB,9,1,34,2,2,targ_class1,-311.0,414.0,2.0
15,conj_AB,cond_conj_AB,9,1,35,3,3,targ_class2,-205.0,427.0,4.24
15,conj_AB,cond_conj_AB,9,1,36,4,4,targ_class2,-93.0,441.0,4.64
15,conj_AB,cond_conj_AB,9,1,38,5,5,targ_class2,186.0,418.0,5.17
15,conj_AB,cond_conj_AB,9,1,32,6,6,targ_class1,439.0,250.0,6.97
15,conj_AB,cond_conj_AB,9,1,27,7,7,targ_class2,-206.0,180.0,8.97
15,conj_AB,cond_conj_AB,9,1,17,8,8,targ_class1,-450.0,-0.0,10.47
15,conj_AB,cond_conj_AB,9,1,25,9,9,targ_class1,-439.0,220.0,11.0
15,conj_AB,cond_conj_AB,9,1,21,10,10,targ_class2,70.0,15.0,13.47
15,conj_AB,cond_conj_AB,9,1,22,11,11,targ_class2,189.0,2.0,14.0
15,conj_AB,cond_conj_AB,9,1,16,12,12,targ_class1,476.0,-204.0,14.93
15,conj_AB,cond_conj_AB,9,1,15,13,13,targ_class1,335.0,-200.0,15.43
15,conj_AB,cond_conj_AB,9,1,13,14,14,targ_class1,49.0,-201.0,16.15
15,conj_AB,cond_conj_AB,9,1,11,15,15,targ_class1,-211.0,-193.0,17.02
15,conj_AB,cond_conj_AB,9,1,1,16,16,targ_class1,-481.0,-442.0,18.25
15,conj_AB,cond_conj_AB,9,1,2,17,17,targ_class2,-325.0,-435.0,18.65
15,conj_AB,cond_conj_AB,9,1,3,18,18,targ_class2,-196.0,-423.0,19.18
