person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
19,practice,cond_prac,0,1,35,1,1,targ_class1,-188.0,406.0,3.9
19,practice,cond_prac,0,1,37,2,2,targ_class2,74.0,448.0,4.47
19,practice,cond_prac,0,1,39,3,3,targ_class1,336.0,425.0,5.67
19,practice,cond_prac,0,1,25,4,4,targ_class2,-474.0,206.0,6.93
19,practice,cond_prac,0,1,27,5,5,targ_class2,-196.0,225.0,9.43
19,practice,cond_prac,0,1,32,6,6,targ_class1,404.0,169.0,10.43
19,practice,cond_prac,0,1,24,7,7,targ_class1,450.0,-47.0,11.23
19,practice,cond_prac,0,1,22,8,8,targ_class1,200.0,16.0,12.0
19,practice,cond_prac,0,1,20,9,9,targ_class1,-54.0,1.0,12.93
19,practice,cond_prac,0,1,19,10,10,targ_class1,-174.0,-27.0,13.67
19,practice,cond_prac,0,1,23,11,11,targ_class1,332.0,-8.0,14.5
19,practice,cond_prac,0,1,18,12,12,targ_class1,-323.0,-29.0,15.43
19,practice,cond_prac,0,1,9,13,13,targ_class2,-455.0,-223.0,16.5
19,practice,cond_prac,0,1,1,14,14,targ_class2,-491.0,-371.0,17.11
19,practice,cond_prac,0,1,11,15,15,targ_class2,-184.0,-235.0,17.75
19,practice,cond_prac,0,1,13,16,16,targ_class2,26.0,-203.0,19.45
19,practice,cond_prac,0,1,14,17,17,targ_class1,193.0,-219.0,20.02
19,practice,cond_prac,0,1,16,18,18,targ_class2,461.0,-192.0,20.72
19,practice,cond_prac,0,1,7,19,19,targ_class2,334.0,-419.0,21.41
19,practice,cond_prac,0,1,6,20,20,targ_class2,199.0,-419.0,22.13
19,conj_AB,cond_conj_AB,2,1,33,1,1,targ_class1,-456.0,418.0,2.34
19,conj_AB,cond_conj_AB,2,1,37,2,2,targ_class2,72.0,448.0,3.4
19,conj_AB,cond_conj_AB,2,1,34,3,3,targ_class1,-311.0,424.0,4.07
19,conj_AB,cond_conj_AB,2,1,38,4,4,targ_class1,225.0,420.0,5.37
19,conj_AB,cond_conj_AB,2,1,40,5,5,targ_class1,478.0,451.0,6.03
19,conj_AB,cond_conj_AB,2,1,27,6,6,targ_class1,-174.0,224.0,7.27
19,conj_AB,cond_conj_AB,2,1,28,7,7,targ_class1,-79.0,226.0,7.77
19,conj_AB,cond_conj_AB,2,1,29,8,8,targ_class1,97.0,186.0,8.3
19,conj_AB,cond_conj_AB,2,1,9,9,9,targ_class1,-486.0,-209.0,10.37
19,conj_AB,cond_conj_AB,2,1,5,10,10,targ_class1,63.0,-400.0,11.57
19,conj_AB,cond_conj_AB,2,1,4,11,11,targ_class1,-81.0,-433.0,12.23
19,conj_AB,cond_conj_AB,2,1,14,12,12,targ_class2,193.0,-235.0,13.7
19,conj_AB,cond_conj_AB,2,1,23,13,13,targ_class2,306.0,-23.0,14.68
19,conj_AB,cond_conj_AB,2,1,25,14,14,targ_class2,-443.0,231.0,15.62
