person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
22,practice,cond_prac,0,1,28,1,1,targ_class2,-56,202,4.1
22,practice,cond_prac,0,1,27,2,2,targ_class2,-150,233,4.6
22,practice,cond_prac,0,1,18,0,0,dist_class1,-326,-2,6.23
22,practice,cond_prac,0,2,19,0,0,dist_class1,-201,-15,0.97
22,practice,cond_prac,0,3,20,1,1,targ_class1,-83,-2,1.34
22,practice,cond_prac,0,3,19,2,2,targ_class1,-188,-9,2.33
22,practice,cond_prac,0,3,21,0,0,dist_class1,66,-25,3.33
22,practice,cond_prac,0,4,21,0,0,dist_class1,75,-6,2.2
22,practice,cond_prac,0,5,20,1,1,targ_class2,-71,-18,0.87
22,practice,cond_prac,0,5,21,2,2,targ_class2,66,17,1.77
22,practice,cond_prac,0,5,29,3,3,targ_class2,95,251,3.04
22,practice,cond_prac,0,5,30,4,4,targ_class2,194,231,3.6
22,practice,cond_prac,0,5,32,5,5,targ_class2,433,209,4.84
22,practice,cond_prac,0,5,34,6,6,targ_class2,-315,431,6.44
22,practice,cond_prac,0,5,38,0,0,dist_class1,210,452,7.54
22,practice,cond_prac,0,6,25,0,0,dist_class1,-475,208,3.67
22,feature_A,cond_feature_A,5,1,20,1,1,targ_class2,-58,-13,1.2
22,feature_A,cond_feature_A,5,1,30,2,2,targ_class2,189,215,2.24
22,feature_A,cond_feature_A,5,1,32,3,3,targ_class2,421,225,2.94
22,feature_A,cond_feature_A,5,1,38,4,4,targ_class2,174,442,3.9
22,feature_A,cond_feature_A,5,1,39,5,5,targ_class2,326,441,4.6
22,feature_A,cond_feature_A,5,1,37,6,6,targ_class2,95,437,5.07
22,feature_A,cond_feature_A,5,1,34,7,7,targ_class2,-354,442,6
22,feature_A,cond_feature_A,5,1,27,8,8,targ_class2,-214,243,6.67
22,feature_A,cond_feature_A,5,1,17,9,9,targ_class2,-441,24,7.53
22,feature_A,cond_feature_A,5,1,18,10,10,targ_class1,-350,3,8.13
22,feature_A,cond_feature_A,5,1,11,11,11,targ_class2,-202,-200,8.97
22,feature_A,cond_feature_A,5,1,12,12,12,targ_class2,-81,-216,9.53
22,feature_A,cond_feature_A,5,1,21,13,13,targ_class1,88,26,10.58
22,feature_A,cond_feature_A,5,1,31,14,14,targ_class1,364,226,11.2
22,feature_A,cond_feature_A,5,1,15,15,15,targ_class1,319,-200,12.27
22,feature_A,cond_feature_A,5,1,16,16,16,targ_class2,433,-230,12.72
22,feature_A,cond_feature_A,5,1,7,17,17,targ_class2,370,-406,13.22
22,feature_A,cond_feature_A,5,1,1,18,18,targ_class2,-445,-421,15.42
22,feature_A,cond_feature_A,5,1,9,19,19,targ_class2,-473,-209,15.98
22,feature_A,cond_feature_A,5,1,8,20,20,targ_class1,459,-444,18.45
22,feature_A,cond_feature_A,3,1,26,1,1,targ_class1,-343,243,1.87
22,feature_A,cond_feature_A,3,1,25,2,2,targ_class1,-460,189,2.54
22,feature_A,cond_feature_A,3,1,33,3,3,targ_class2,-434,417,3.4
22,feature_A,cond_feature_A,3,1,34,4,4,targ_class2,-346,430,3.94
22,feature_A,cond_feature_A,3,1,35,5,5,targ_class2,-171,437,4.87
22,feature_A,cond_feature_A,3,1,36,6,6,targ_class2,-24,453,5.3
22,feature_A,cond_feature_A,3,1,37,7,7,targ_class2,68,428,5.8
22,feature_A,cond_feature_A,3,1,28,8,8,targ_class2,-67,199,6.7
22,feature_A,cond_feature_A,3,1,30,9,9,targ_class2,191,247,7.4
22,feature_A,cond_feature_A,3,1,39,10,10,targ_class1,326,443,7.9
22,feature_A,cond_feature_A,3,1,20,11,11,targ_class2,-92,-4,8.9
22,feature_A,cond_feature_A,3,1,21,12,12,targ_class2,87,-54,9.47
22,feature_A,cond_feature_A,3,1,24,13,13,targ_class2,456,17,10.4
22,feature_A,cond_feature_A,3,1,15,14,14,targ_class2,343,-205,11.22
22,feature_A,cond_feature_A,3,1,8,15,15,targ_class2,440,-392,12.02
22,feature_A,cond_feature_A,3,1,6,16,16,targ_class1,175,-430,12.68
22,feature_A,cond_feature_A,3,1,1,17,17,targ_class1,-468,-442,13.58
22,feature_A,cond_feature_A,3,1,3,18,18,targ_class2,-206,-363,14.52
22,feature_A,cond_feature_A,3,1,4,19,19,targ_class2,-34,-436,15.03
22,feature_A,cond_feature_A,3,1,17,20,20,targ_class2,-431,-21,15.95
22,feature_A,cond_feature_A,9,1,26,1,1,targ_class2,-326,219,1.07
22,feature_A,cond_feature_A,9,1,25,2,2,targ_class2,-470,197,1.44
22,feature_A,cond_feature_A,9,1,34,3,3,targ_class2,-314,424,2.67
22,feature_A,cond_feature_A,9,1,37,4,4,targ_class2,82,428,3.5
22,feature_A,cond_feature_A,9,1,36,5,5,targ_class1,-50,406,4.1
22,feature_A,cond_feature_A,9,1,38,6,6,targ_class1,204,386,4.84
22,feature_A,cond_feature_A,9,1,23,7,7,targ_class2,297,16,5.73
22,feature_A,cond_feature_A,9,1,24,8,8,targ_class2,492,-3,6.7
22,feature_A,cond_feature_A,9,1,16,9,9,targ_class1,458,-218,7.33
22,feature_A,cond_feature_A,9,1,8,10,10,targ_class2,479,-436,7.9
22,feature_A,cond_feature_A,9,1,6,11,11,targ_class1,211,-384,8.57
22,feature_A,cond_feature_A,9,1,7,12,12,targ_class2,351,-447,9.17
22,feature_A,cond_feature_A,9,1,14,13,13,targ_class2,160,-200,10.07
22,feature_A,cond_feature_A,9,1,5,14,14,targ_class2,74,-405,10.63
22,feature_A,cond_feature_A,9,1,4,15,15,targ_class1,-73,-408,11.47
22,feature_A,cond_feature_A,9,1,3,16,16,targ_class2,-188,-443,12.22
22,feature_A,cond_feature_A,9,1,2,17,17,targ_class2,-319,-421,12.95
22,feature_A,cond_feature_A,9,1,10,18,18,targ_class2,-326,-221,13.65
22,feature_A,cond_feature_A,9,1,9,19,19,targ_class2,-447,-166,14.3
22,feature_A,cond_feature_A,9,1,18,20,20,targ_class2,-327,-29,14.78
22,feature_A,cond_feature_A,0,1,20,1,1,targ_class2,-35,3,0.73
22,feature_A,cond_feature_A,0,1,11,2,2,targ_class2,-199,-200,1.7
22,feature_A,cond_feature_A,0,1,12,3,3,targ_class2,-50,-212,2.2
22,feature_A,cond_feature_A,0,1,14,4,4,targ_class2,156,-169,2.87
22,feature_A,cond_feature_A,0,1,22,5,5,targ_class1,210,8,3.5
