person,block,condition,trial,attempt,id,item_class,x,y
22,practice,cond_prac,0,1,1,dist_class1,-423,-427
22,practice,cond_prac,0,1,2,targ_class1,-286,-414
22,practice,cond_prac,0,1,3,dist_class2,-161,-406
22,practice,cond_prac,0,1,4,dist_class1,-50,-427
22,practice,cond_prac,0,1,5,targ_class1,53,-438
22,practice,cond_prac,0,1,6,dist_class2,181,-414
22,practice,cond_prac,0,1,7,dist_class1,337,-458
22,practice,cond_prac,0,1,8,targ_class2,443,-414
22,practice,cond_prac,0,1,9,targ_class2,-461,-194
22,practice,cond_prac,0,1,10,targ_class2,-348,-213
22,practice,cond_prac,0,1,11,targ_class2,-175,-217
22,practice,cond_prac,0,1,12,targ_class2,-64,-201
22,practice,cond_prac,0,1,13,targ_class1,86,-175
22,practice,cond_prac,0,1,14,dist_class1,166,-231
22,practice,cond_prac,0,1,15,targ_class2,335,-210
22,practice,cond_prac,0,1,16,targ_class2,464,-215
22,practice,cond_prac,0,1,17,dist_class1,-480,45
22,practice,cond_prac,0,1,18,dist_class1,-326,-2
22,practice,cond_prac,0,1,19,dist_class2,-189,5
22,practice,cond_prac,0,1,20,targ_class1,-91,22
22,practice,cond_prac,0,1,21,targ_class1,86,5
22,practice,cond_prac,0,1,22,targ_class1,169,-7
22,practice,cond_prac,0,1,23,targ_class1,374,0
22,practice,cond_prac,0,1,24,dist_class2,481,22
22,practice,cond_prac,0,1,25,targ_class1,-435,195
22,practice,cond_prac,0,1,26,dist_class1,-320,178
22,practice,cond_prac,0,1,27,targ_class2,-150,233
22,practice,cond_prac,0,1,28,targ_class2,-56,202
22,practice,cond_prac,0,1,29,dist_class2,56,228
22,practice,cond_prac,0,1,30,dist_class2,203,180
22,practice,cond_prac,0,1,31,dist_class1,299,180
22,practice,cond_prac,0,1,32,dist_class2,437,217
22,practice,cond_prac,0,1,33,dist_class1,-474,430
22,practice,cond_prac,0,1,34,dist_class2,-343,445
22,practice,cond_prac,0,1,35,dist_class2,-164,393
22,practice,cond_prac,0,1,36,targ_class1,-24,442
22,practice,cond_prac,0,1,37,targ_class1,58,397
22,practice,cond_prac,0,1,38,dist_class1,176,409
22,practice,cond_prac,0,1,39,dist_class2,326,417
22,practice,cond_prac,0,1,40,targ_class2,421,434
22,practice,cond_prac,0,2,1,dist_class2,-483,-437
22,practice,cond_prac,0,2,2,targ_class2,-332,-446
22,practice,cond_prac,0,2,3,dist_class2,-202,-415
22,practice,cond_prac,0,2,4,dist_class1,-42,-428
22,practice,cond_prac,0,2,5,targ_class2,66,-428
22,practice,cond_prac,0,2,6,targ_class2,161,-432
22,practice,cond_prac,0,2,7,dist_class2,319,-428
22,practice,cond_prac,0,2,8,targ_class2,465,-432
22,practice,cond_prac,0,2,9,targ_class2,-449,-205
22,practice,cond_prac,0,2,10,targ_class1,-334,-211
22,practice,cond_prac,0,2,11,dist_class2,-170,-213
22,practice,cond_prac,0,2,12,targ_class1,-84,-221
22,practice,cond_prac,0,2,13,dist_class1,60,-187
22,practice,cond_prac,0,2,14,dist_class2,192,-194
22,practice,cond_prac,0,2,15,dist_class1,318,-199
22,practice,cond_prac,0,2,16,dist_class1,462,-197
22,practice,cond_prac,0,2,17,dist_class2,-425,4
22,practice,cond_prac,0,2,18,dist_class2,-331,-1
22,practice,cond_prac,0,2,19,dist_class1,-201,-15
22,practice,cond_prac,0,2,20,targ_class1,-58,38
22,practice,cond_prac,0,2,21,targ_class1,81,2
22,practice,cond_prac,0,2,22,dist_class2,175,26
22,practice,cond_prac,0,2,23,dist_class1,337,-30
22,practice,cond_prac,0,2,24,dist_class1,441,-20
22,practice,cond_prac,0,2,25,dist_class2,-461,194
22,practice,cond_prac,0,2,26,dist_class1,-351,215
22,practice,cond_prac,0,2,27,targ_class2,-193,219
22,practice,cond_prac,0,2,28,targ_class2,-68,232
22,practice,cond_prac,0,2,29,dist_class2,66,222
22,practice,cond_prac,0,2,30,targ_class1,168,173
22,practice,cond_prac,0,2,31,targ_class2,314,232
22,practice,cond_prac,0,2,32,dist_class1,470,224
22,practice,cond_prac,0,2,33,targ_class1,-444,428
22,practice,cond_prac,0,2,34,targ_class2,-317,453
22,practice,cond_prac,0,2,35,targ_class1,-228,438
22,practice,cond_prac,0,2,36,dist_class1,-66,428
22,practice,cond_prac,0,2,37,targ_class2,82,449
22,practice,cond_prac,0,2,38,targ_class1,218,407
22,practice,cond_prac,0,2,39,targ_class1,308,472
22,practice,cond_prac,0,2,40,targ_class1,442,431
22,practice,cond_prac,0,3,1,targ_class1,-420,-432
22,practice,cond_prac,0,3,2,dist_class1,-323,-416
22,practice,cond_prac,0,3,3,targ_class2,-217,-402
22,practice,cond_prac,0,3,4,dist_class2,-95,-424
22,practice,cond_prac,0,3,5,dist_class1,112,-397
22,practice,cond_prac,0,3,6,dist_class2,191,-397
22,practice,cond_prac,0,3,7,dist_class2,320,-457
22,practice,cond_prac,0,3,8,targ_class1,474,-450
22,practice,cond_prac,0,3,9,targ_class2,-469,-239
22,practice,cond_prac,0,3,10,dist_class2,-352,-246
22,practice,cond_prac,0,3,11,dist_class1,-180,-181
22,practice,cond_prac,0,3,12,dist_class1,-70,-217
22,practice,cond_prac,0,3,13,targ_class1,61,-179
22,practice,cond_prac,0,3,14,dist_class2,155,-224
22,practice,cond_prac,0,3,15,dist_class1,336,-187
22,practice,cond_prac,0,3,16,targ_class2,453,-218
22,practice,cond_prac,0,3,17,targ_class2,-458,-4
22,practice,cond_prac,0,3,18,targ_class1,-336,-18
22,practice,cond_prac,0,3,19,targ_class1,-188,-9
22,practice,cond_prac,0,3,20,targ_class1,-83,-2
22,practice,cond_prac,0,3,21,dist_class1,66,-25
22,practice,cond_prac,0,3,22,targ_class2,184,-10
22,practice,cond_prac,0,3,23,targ_class2,283,26
22,practice,cond_prac,0,3,24,targ_class1,478,26
22,practice,cond_prac,0,3,25,targ_class2,-481,238
22,practice,cond_prac,0,3,26,targ_class1,-361,201
22,practice,cond_prac,0,3,27,dist_class2,-227,254
22,practice,cond_prac,0,3,28,dist_class2,-80,220
22,practice,cond_prac,0,3,29,targ_class1,59,248
22,practice,cond_prac,0,3,30,dist_class2,253,207
22,practice,cond_prac,0,3,31,targ_class1,318,256
22,practice,cond_prac,0,3,32,dist_class1,475,226
22,practice,cond_prac,0,3,33,targ_class2,-456,421
22,practice,cond_prac,0,3,34,dist_class2,-384,437
22,practice,cond_prac,0,3,35,dist_class1,-199,407
22,practice,cond_prac,0,3,36,targ_class2,-54,430
22,practice,cond_prac,0,3,37,dist_class1,63,440
22,practice,cond_prac,0,3,38,targ_class2,213,424
22,practice,cond_prac,0,3,39,dist_class1,343,414
22,practice,cond_prac,0,3,40,dist_class2,449,419
22,practice,cond_prac,0,4,1,dist_class2,-493,-475
22,practice,cond_prac,0,4,2,targ_class2,-304,-390
22,practice,cond_prac,0,4,3,targ_class1,-207,-425
22,practice,cond_prac,0,4,4,dist_class1,-45,-417
22,practice,cond_prac,0,4,5,targ_class1,57,-407
22,practice,cond_prac,0,4,6,targ_class2,194,-410
22,practice,cond_prac,0,4,7,dist_class1,318,-432
22,practice,cond_prac,0,4,8,targ_class1,475,-432
22,practice,cond_prac,0,4,9,targ_class2,-490,-200
22,practice,cond_prac,0,4,10,targ_class1,-325,-209
22,practice,cond_prac,0,4,11,targ_class1,-176,-199
22,practice,cond_prac,0,4,12,dist_class2,-59,-226
22,practice,cond_prac,0,4,13,dist_class1,57,-217
22,practice,cond_prac,0,4,14,dist_class2,184,-227
22,practice,cond_prac,0,4,15,targ_class2,363,-199
22,practice,cond_prac,0,4,16,dist_class2,482,-232
22,practice,cond_prac,0,4,17,dist_class1,-457,10
