person,block,condition,trial,attempt,id,item_class,x,y
23,practice,cond_prac,0,1,1,dist_class1,-432.0,-392.0
23,practice,cond_prac,0,1,2,targ_class2,-321.0,-438.0
23,practice,cond_prac,0,1,3,dist_class2,-200.0,-421.0
23,practice,cond_prac,0,1,4,targ_class1,-64.0,-410.0
23,practice,cond_prac,0,1,5,targ_class1,69.0,-429.0
23,practice,cond_prac,0,1,6,dist_class2,202.0,-437.0
23,practice,cond_prac,0,1,7,dist_class1,303.0,-435.0
23,practice,cond_prac,0,1,8,targ_class2,425.0,-394.0
23,practice,cond_prac,0,1,9,targ_class1,-462.0,-248.0
23,practice,cond_prac,0,1,10,targ_class2,-320.0,-249.0
23,practice,cond_prac,0,1,11,targ_class2,-229.0,-249.0
23,practice,cond_prac,0,1,12,targ_class2,-63.0,-222.0
23,practice,cond_prac,0,1,13,dist_class2,66.0,-237.0
23,practice,cond_prac,0,1,14,targ_class2,189.0,-236.0
23,practice,cond_prac,0,1,15,dist_class1,295.0,-225.0
23,practice,cond_prac,0,1,16,targ_class1,496.0,-202.0
23,practice,cond_prac,0,1,17,targ_class2,-468.0,21.0
23,practice,cond_prac,0,1,18,targ_class1,-334.0,-2.0
23,practice,cond_prac,0,1,19,dist_class2,-169.0,-5.0
23,practice,cond_prac,0,1,20,dist_class1,-64.0,-15.0
23,practice,cond_prac,0,1,21,dist_class2,74.0,-13.0
23,practice,cond_prac,0,1,22,targ_class1,159.0,21.0
23,practice,cond_prac,0,1,23,targ_class2,304.0,-18.0
23,practice,cond_prac,0,1,24,targ_class1,453.0,-11.0
23,practice,cond_prac,0,1,25,dist_class2,-463.0,178.0
23,practice,cond_prac,0,1,26,dist_class1,-313.0,215.0
23,practice,cond_prac,0,1,27,targ_class2,-195.0,243.0
23,practice,cond_prac,0,1,28,dist_class2,-65.0,206.0
23,practice,cond_prac,0,1,29,dist_class1,38.0,217.0
23,practice,cond_prac,0,1,30,dist_class1,150.0,232.0
23,practice,cond_prac,0,1,31,targ_class2,335.0,234.0
23,practice,cond_prac,0,1,32,dist_class1,470.0,262.0
23,practice,cond_prac,0,1,33,targ_class1,-454.0,405.0
23,practice,cond_prac,0,1,34,dist_class2,-332.0,393.0
23,practice,cond_prac,0,1,35,targ_class1,-213.0,446.0
23,practice,cond_prac,0,1,36,dist_class1,-88.0,425.0
23,practice,cond_prac,0,1,37,dist_class1,89.0,438.0
23,practice,cond_prac,0,1,38,dist_class2,166.0,430.0
23,practice,cond_prac,0,1,39,dist_class2,383.0,415.0
23,practice,cond_prac,0,1,40,targ_class1,470.0,459.0
23,feature_A,cond_feature_A,4,1,1,targ_class2,-468.0,-446.0
23,feature_A,cond_feature_A,4,1,2,dist_class1,-302.0,-414.0
23,feature_A,cond_feature_A,4,1,3,targ_class2,-208.0,-402.0
23,feature_A,cond_feature_A,4,1,4,dist_class2,-74.0,-436.0
23,feature_A,cond_feature_A,4,1,5,targ_class2,59.0,-435.0
23,feature_A,cond_feature_A,4,1,6,dist_class1,162.0,-451.0
23,feature_A,cond_feature_A,4,1,7,targ_class2,317.0,-413.0
23,feature_A,cond_feature_A,4,1,8,targ_class2,460.0,-415.0
23,feature_A,cond_feature_A,4,1,9,dist_class2,-449.0,-235.0
23,feature_A,cond_feature_A,4,1,10,targ_class2,-358.0,-200.0
23,feature_A,cond_feature_A,4,1,11,dist_class2,-202.0,-198.0
23,feature_A,cond_feature_A,4,1,12,targ_class2,-94.0,-190.0
23,feature_A,cond_feature_A,4,1,13,targ_class1,73.0,-204.0
23,feature_A,cond_feature_A,4,1,14,dist_class2,222.0,-193.0
23,feature_A,cond_feature_A,4,1,15,dist_class1,354.0,-226.0
23,feature_A,cond_feature_A,4,1,16,targ_class2,450.0,-206.0
23,feature_A,cond_feature_A,4,1,17,targ_class2,-426.0,34.0
23,feature_A,cond_feature_A,4,1,18,targ_class2,-332.0,24.0
23,feature_A,cond_feature_A,4,1,19,targ_class2,-177.0,6.0
23,feature_A,cond_feature_A,4,1,20,dist_class2,-60.0,3.0
23,feature_A,cond_feature_A,4,1,21,targ_class2,49.0,-36.0
23,feature_A,cond_feature_A,4,1,22,dist_class1,182.0,7.0
23,feature_A,cond_feature_A,4,1,23,dist_class1,332.0,-21.0
23,feature_A,cond_feature_A,4,1,24,dist_class1,452.0,-16.0
23,feature_A,cond_feature_A,4,1,25,dist_class2,-489.0,218.0
23,feature_A,cond_feature_A,4,1,26,dist_class1,-301.0,201.0
23,feature_A,cond_feature_A,4,1,27,dist_class1,-192.0,257.0
