person,block,condition,trial,attempt,id,item_class,x,y
24,practice,cond_prac,0,1,1,dist_class2,-445.0,-454.0
24,practice,cond_prac,0,1,2,targ_class1,-313.0,-425.0
24,practice,cond_prac,0,1,3,targ_class1,-197.0,-444.0
24,practice,cond_prac,0,1,4,dist_class2,-49.0,-404.0
24,practice,cond_prac,0,1,5,targ_class1,71.0,-429.0
24,practice,cond_prac,0,1,6,dist_class1,178.0,-471.0
24,practice,cond_prac,0,1,7,dist_class1,355.0,-447.0
24,practice,cond_prac,0,1,8,dist_class1,427.0,-404.0
24,practice,cond_prac,0,1,9,dist_class2,-467.0,-211.0
24,practice,cond_prac,0,1,10,dist_class2,-311.0,-203.0
24,practice,cond_prac,0,1,11,dist_class1,-214.0,-242.0
24,practice,cond_prac,0,1,12,targ_class1,-73.0,-208.0
24,practice,cond_prac,0,1,13,targ_class2,71.0,-200.0
24,practice,cond_prac,0,1,14,targ_class1,219.0,-217.0
24,practice,cond_prac,0,1,15,dist_class2,329.0,-210.0
24,practice,cond_prac,0,1,16,targ_class2,458.0,-222.0
24,practice,cond_prac,0,1,17,dist_class1,-469.0,-1.0
24,practice,cond_prac,0,1,18,targ_class1,-285.0,-23.0
24,practice,cond_prac,0,1,19,targ_class2,-172.0,-12.0
24,practice,cond_prac,0,1,20,dist_class2,-57.0,-18.0
24,practice,cond_prac,0,1,21,targ_class1,76.0,9.0
24,practice,cond_prac,0,1,22,dist_class1,194.0,-4.0
24,practice,cond_prac,0,1,23,targ_class2,360.0,12.0
24,practice,cond_prac,0,1,24,dist_class1,456.0,17.0
24,practice,cond_prac,0,1,25,dist_class2,-476.0,219.0
24,practice,cond_prac,0,1,26,targ_class1,-329.0,179.0
24,practice,cond_prac,0,1,27,targ_class2,-232.0,229.0
24,practice,cond_prac,0,1,28,targ_class2,-66.0,197.0
24,practice,cond_prac,0,1,29,dist_class1,61.0,217.0
24,practice,cond_prac,0,1,30,targ_class2,197.0,221.0
24,practice,cond_prac,0,1,31,targ_class2,337.0,207.0
24,practice,cond_prac,0,1,32,dist_class2,456.0,243.0
24,practice,cond_prac,0,1,33,dist_class1,-440.0,401.0
24,practice,cond_prac,0,1,34,targ_class1,-325.0,420.0
24,practice,cond_prac,0,1,35,targ_class1,-203.0,399.0
24,practice,cond_prac,0,1,36,targ_class2,-73.0,460.0
24,practice,cond_prac,0,1,37,dist_class2,40.0,406.0
24,practice,cond_prac,0,1,38,targ_class2,163.0,411.0
24,practice,cond_prac,0,1,39,dist_class1,347.0,445.0
24,practice,cond_prac,0,1,40,dist_class2,474.0,421.0
24,practice,cond_prac,0,2,1,dist_class2,-470.0,-412.0
24,practice,cond_prac,0,2,2,dist_class2,-353.0,-454.0
24,practice,cond_prac,0,2,3,targ_class2,-203.0,-434.0
24,practice,cond_prac,0,2,4,dist_class1,-51.0,-410.0
24,practice,cond_prac,0,2,5,dist_class1,38.0,-444.0
24,practice,cond_prac,0,2,6,dist_class1,161.0,-443.0
24,practice,cond_prac,0,2,7,dist_class2,348.0,-425.0
24,practice,cond_prac,0,2,8,targ_class2,447.0,-445.0
24,practice,cond_prac,0,2,9,dist_class1,-489.0,-197.0
24,practice,cond_prac,0,2,10,targ_class1,-342.0,-224.0
24,practice,cond_prac,0,2,11,dist_class2,-176.0,-210.0
24,practice,cond_prac,0,2,12,targ_class2,-65.0,-243.0
24,practice,cond_prac,0,2,13,dist_class1,81.0,-221.0
24,practice,cond_prac,0,2,14,targ_class1,233.0,-215.0
24,practice,cond_prac,0,2,15,targ_class1,326.0,-215.0
24,practice,cond_prac,0,2,16,targ_class2,454.0,-160.0
24,practice,cond_prac,0,2,17,targ_class1,-461.0,26.0
24,practice,cond_prac,0,2,18,targ_class1,-349.0,-13.0
24,practice,cond_prac,0,2,19,targ_class2,-206.0,-14.0
24,practice,cond_prac,0,2,20,dist_class1,-78.0,-9.0
24,practice,cond_prac,0,2,21,dist_class2,58.0,-15.0
24,practice,cond_prac,0,2,22,targ_class1,167.0,24.0
24,practice,cond_prac,0,2,23,targ_class1,315.0,31.0
24,practice,cond_prac,0,2,24,dist_class2,430.0,-37.0
24,practice,cond_prac,0,2,25,targ_class2,-444.0,216.0
24,practice,cond_prac,0,2,26,dist_class2,-371.0,233.0
24,practice,cond_prac,0,2,27,targ_class1,-173.0,207.0
24,practice,cond_prac,0,2,28,targ_class2,-105.0,216.0
24,practice,cond_prac,0,2,29,dist_class1,78.0,212.0
24,practice,cond_prac,0,2,30,dist_class2,208.0,196.0
24,practice,cond_prac,0,2,31,targ_class1,313.0,200.0
24,practice,cond_prac,0,2,32,targ_class1,457.0,198.0
24,practice,cond_prac,0,2,33,dist_class1,-457.0,441.0
24,practice,cond_prac,0,2,34,targ_class2,-332.0,467.0
24,practice,cond_prac,0,2,35,targ_class2,-201.0,440.0
24,practice,cond_prac,0,2,36,dist_class2,-83.0,415.0
24,practice,cond_prac,0,2,37,dist_class1,84.0,441.0
24,practice,cond_prac,0,2,38,targ_class2,208.0,396.0
24,practice,cond_prac,0,2,39,dist_class1,363.0,403.0
24,practice,cond_prac,0,2,40,dist_class2,424.0,403.0
24,feature_B,cond_feature_B,3,1,1,targ_class2,-464.0,-453.0
24,feature_B,cond_feature_B,3,1,2,dist_class1,-301.0,-439.0
24,feature_B,cond_feature_B,3,1,3,dist_class2,-177.0,-423.0
24,feature_B,cond_feature_B,3,1,4,targ_class2,-80.0,-431.0
24,feature_B,cond_feature_B,3,1,5,dist_class1,33.0,-405.0
24,feature_B,cond_feature_B,3,1,6,dist_class2,178.0,-409.0
24,feature_B,cond_feature_B,3,1,7,targ_class2,362.0,-403.0
24,feature_B,cond_feature_B,3,1,8,dist_class1,476.0,-405.0
24,feature_B,cond_feature_B,3,1,9,targ_class1,-448.0,-210.0
24,feature_B,cond_feature_B,3,1,10,dist_class2,-321.0,-196.0
24,feature_B,cond_feature_B,3,1,11,dist_class1,-203.0,-211.0
24,feature_B,cond_feature_B,3,1,12,targ_class1,-74.0,-217.0
24,feature_B,cond_feature_B,3,1,13,dist_class2,76.0,-210.0
24,feature_B,cond_feature_B,3,1,14,targ_class1,212.0,-202.0
24,feature_B,cond_feature_B,3,1,15,targ_class1,333.0,-212.0
24,feature_B,cond_feature_B,3,1,16,dist_class2,468.0,-209.0
24,feature_B,cond_feature_B,3,1,17,dist_class1,-457.0,-18.0
24,feature_B,cond_feature_B,3,1,18,targ_class1,-377.0,25.0
24,feature_B,cond_feature_B,3,1,19,dist_class1,-191.0,30.0
24,feature_B,cond_feature_B,3,1,20,targ_class1,-74.0,-3.0
