person,block,condition,trial,attempt,id,item_class,x,y
30,practice,cond_prac,0,1,1,targ_class2,-467.0,-436.0
30,practice,cond_prac,0,1,2,targ_class2,-346.0,-442.0
30,practice,cond_prac,0,1,3,targ_class2,-181.0,-425.0
30,practice,cond_prac,0,1,4,targ_class2,-40.0,-447.0
30,practice,cond_prac,0,1,5,dist_class2,83.0,-427.0
30,practice,cond_prac,0,1,6,dist_class1,199.0,-410.0
30,practice,cond_prac,0,1,7,dist_class2,285.0,-445.0
30,practice,cond_prac,0,1,8,dist_class1,470.0,-443.0
30,practice,cond_prac,0,1,9,targ_class1,-453.0,-209.0
30,practice,cond_prac,0,1,10,targ_class2,-329.0,-213.0
30,practice,cond_prac,0,1,11,targ_class2,-163.0,-259.0
30,practice,cond_prac,0,1,12,dist_class2,-41.0,-227.0
30,practice,cond_prac,0,1,13,dist_class1,50.0,-226.0
30,practice,cond_prac,0,1,14,dist_class2,195.0,-233.0
30,practice,cond_prac,0,1,15,dist_class1,318.0,-233.0
30,practice,cond_prac,0,1,16,targ_class2,481.0,-240.0
30,practice,cond_prac,0,1,17,targ_class2,-466.0,-35.0
30,practice,cond_prac,0,1,18,targ_class1,-316.0,-29.0
30,practice,cond_prac,0,1,19,dist_class2,-185.0,19.0
30,practice,cond_prac,0,1,20,targ_class1,-49.0,23.0
30,practice,cond_prac,0,1,21,dist_class2,70.0,3.0
30,practice,cond_prac,0,1,22,dist_class2,203.0,12.0
30,practice,cond_prac,0,1,23,targ_class1,357.0,-2.0
30,practice,cond_prac,0,1,24,targ_class1,450.0,43.0
30,practice,cond_prac,0,1,25,targ_class2,-485.0,210.0
30,practice,cond_prac,0,1,26,dist_class1,-316.0,176.0
30,practice,cond_prac,0,1,27,dist_class2,-191.0,226.0
30,practice,cond_prac,0,1,28,dist_class1,-31.0,208.0
30,practice,cond_prac,0,1,29,dist_class1,24.0,220.0
30,practice,cond_prac,0,1,30,dist_class2,207.0,239.0
30,practice,cond_prac,0,1,31,dist_class2,378.0,195.0
30,practice,cond_prac,0,1,32,targ_class1,455.0,206.0
30,practice,cond_prac,0,1,33,targ_class1,-461.0,422.0
30,practice,cond_prac,0,1,34,dist_class1,-321.0,459.0
30,practice,cond_prac,0,1,35,dist_class1,-206.0,395.0
30,practice,cond_prac,0,1,36,targ_class1,-44.0,446.0
30,practice,cond_prac,0,1,37,targ_class2,44.0,421.0
30,practice,cond_prac,0,1,38,targ_class1,202.0,434.0
30,practice,cond_prac,0,1,39,targ_class1,330.0,450.0
30,practice,cond_prac,0,1,40,dist_class1,463.0,404.0
30,practice,cond_prac,0,2,1,targ_class2,-451.0,-409.0
30,practice,cond_prac,0,2,2,dist_class1,-316.0,-432.0
30,practice,cond_prac,0,2,3,dist_class2,-191.0,-424.0
30,practice,cond_prac,0,2,4,dist_class2,-58.0,-407.0
30,practice,cond_prac,0,2,5,dist_class2,68.0,-398.0
30,practice,cond_prac,0,2,6,targ_class1,196.0,-459.0
30,practice,cond_prac,0,2,7,targ_class2,353.0,-434.0
30,practice,cond_prac,0,2,8,targ_class2,428.0,-446.0
30,practice,cond_prac,0,2,9,dist_class2,-468.0,-198.0
30,practice,cond_prac,0,2,10,targ_class2,-326.0,-176.0
30,practice,cond_prac,0,2,11,dist_class2,-191.0,-196.0
30,practice,cond_prac,0,2,12,targ_class2,-41.0,-188.0
30,practice,cond_prac,0,2,13,targ_class2,58.0,-204.0
30,practice,cond_prac,0,2,14,dist_class2,188.0,-222.0
30,practice,cond_prac,0,2,15,dist_class1,332.0,-198.0
30,practice,cond_prac,0,2,16,dist_class2,465.0,-221.0
30,practice,cond_prac,0,2,17,targ_class1,-470.0,-8.0
30,practice,cond_prac,0,2,18,targ_class2,-315.0,16.0
30,practice,cond_prac,0,2,19,targ_class2,-194.0,10.0
30,practice,cond_prac,0,2,20,dist_class1,-97.0,-9.0
30,practice,cond_prac,0,2,21,targ_class1,48.0,33.0
30,practice,cond_prac,0,2,22,dist_class2,202.0,-1.0
30,practice,cond_prac,0,2,23,targ_class1,323.0,21.0
30,practice,cond_prac,0,2,24,targ_class2,432.0,0.0
30,practice,cond_prac,0,2,25,dist_class1,-437.0,234.0
30,practice,cond_prac,0,2,26,targ_class1,-359.0,192.0
30,practice,cond_prac,0,2,27,targ_class1,-211.0,216.0
30,practice,cond_prac,0,2,28,dist_class1,-29.0,169.0
30,practice,cond_prac,0,2,29,dist_class2,75.0,223.0
30,practice,cond_prac,0,2,30,targ_class2,178.0,219.0
30,practice,cond_prac,0,2,31,targ_class1,312.0,215.0
30,practice,cond_prac,0,2,32,targ_class1,464.0,211.0
30,practice,cond_prac,0,2,33,targ_class1,-460.0,439.0
30,practice,cond_prac,0,2,34,dist_class1,-317.0,419.0
30,practice,cond_prac,0,2,35,dist_class1,-195.0,416.0
30,practice,cond_prac,0,2,36,targ_class1,-103.0,434.0
30,practice,cond_prac,0,2,37,dist_class1,59.0,433.0
30,practice,cond_prac,0,2,38,dist_class1,156.0,422.0
30,practice,cond_prac,0,2,39,dist_class1,313.0,409.0
30,practice,cond_prac,0,2,40,dist_class2,444.0,440.0
30,conj_AB,cond_conj_AB,4,1,1,dist_class1,-457.0,-426.0
30,conj_AB,cond_conj_AB,4,1,2,targ_class2,-291.0,-440.0
30,conj_AB,cond_conj_AB,4,1,3,dist_class2,-191.0,-409.0
30,conj_AB,cond_conj_AB,4,1,4,dist_class2,-66.0,-428.0
