person,block,condition,trial,attempt,id,item_class,x,y
34,practice,cond_prac,0,1,1,targ_class2,-448.0,-417.0
34,practice,cond_prac,0,1,2,dist_class2,-316.0,-445.0
34,practice,cond_prac,0,1,3,dist_class2,-208.0,-429.0
34,practice,cond_prac,0,1,4,targ_class1,-87.0,-413.0
34,practice,cond_prac,0,1,5,targ_class1,63.0,-429.0
34,practice,cond_prac,0,1,6,targ_class1,204.0,-407.0
34,practice,cond_prac,0,1,7,dist_class1,326.0,-406.0
34,practice,cond_prac,0,1,8,targ_class1,484.0,-449.0
34,practice,cond_prac,0,1,9,dist_class1,-471.0,-226.0
34,practice,cond_prac,0,1,10,targ_class1,-341.0,-194.0
34,practice,cond_prac,0,1,11,targ_class2,-195.0,-207.0
34,practice,cond_prac,0,1,12,targ_class1,-42.0,-192.0
34,practice,cond_prac,0,1,13,dist_class2,98.0,-184.0
34,practice,cond_prac,0,1,14,dist_class2,184.0,-194.0
34,practice,cond_prac,0,1,15,targ_class2,327.0,-245.0
34,practice,cond_prac,0,1,16,targ_class2,482.0,-259.0
34,practice,cond_prac,0,1,17,dist_class2,-454.0,-6.0
34,practice,cond_prac,0,1,18,dist_class1,-326.0,13.0
34,practice,cond_prac,0,1,19,dist_class1,-193.0,21.0
34,practice,cond_prac,0,1,20,dist_class2,-75.0,-7.0
34,practice,cond_prac,0,1,21,targ_class1,77.0,-8.0
34,practice,cond_prac,0,1,22,targ_class2,163.0,18.0
34,practice,cond_prac,0,1,23,dist_class2,317.0,-13.0
34,practice,cond_prac,0,1,24,targ_class2,451.0,-6.0
34,practice,cond_prac,0,1,25,dist_class1,-462.0,202.0
34,practice,cond_prac,0,1,26,targ_class2,-335.0,182.0
34,practice,cond_prac,0,1,27,dist_class2,-201.0,206.0
34,practice,cond_prac,0,1,28,dist_class1,-43.0,230.0
34,practice,cond_prac,0,1,29,dist_class1,49.0,231.0
34,practice,cond_prac,0,1,30,dist_class1,187.0,201.0
34,practice,cond_prac,0,1,31,targ_class1,334.0,257.0
34,practice,cond_prac,0,1,32,targ_class1,483.0,214.0
34,practice,cond_prac,0,1,33,dist_class1,-454.0,448.0
34,practice,cond_prac,0,1,34,dist_class2,-303.0,468.0
34,practice,cond_prac,0,1,35,targ_class2,-211.0,422.0
34,practice,cond_prac,0,1,36,targ_class2,-57.0,410.0
34,practice,cond_prac,0,1,37,targ_class2,18.0,464.0
34,practice,cond_prac,0,1,38,dist_class2,205.0,435.0
34,practice,cond_prac,0,1,39,dist_class1,325.0,402.0
34,practice,cond_prac,0,1,40,targ_class1,477.0,422.0
34,practice,cond_prac,0,2,1,dist_class1,-430.0,-377.0
34,practice,cond_prac,0,2,2,dist_class2,-317.0,-439.0
34,practice,cond_prac,0,2,3,targ_class2,-153.0,-409.0
34,practice,cond_prac,0,2,4,targ_class2,-61.0,-444.0
34,practice,cond_prac,0,2,5,dist_class2,75.0,-421.0
34,practice,cond_prac,0,2,6,targ_class1,188.0,-389.0
34,practice,cond_prac,0,2,7,targ_class2,318.0,-417.0
34,practice,cond_prac,0,2,8,targ_class1,459.0,-419.0
34,practice,cond_prac,0,2,9,targ_class1,-459.0,-197.0
34,practice,cond_prac,0,2,10,dist_class2,-356.0,-204.0
34,practice,cond_prac,0,2,11,dist_class2,-184.0,-235.0
34,practice,cond_prac,0,2,12,targ_class2,-62.0,-251.0
34,practice,cond_prac,0,2,13,dist_class1,64.0,-239.0
34,practice,cond_prac,0,2,14,targ_class1,218.0,-201.0
34,practice,cond_prac,0,2,15,dist_class2,306.0,-212.0
34,practice,cond_prac,0,2,16,targ_class2,467.0,-185.0
34,practice,cond_prac,0,2,17,dist_class1,-446.0,13.0
34,practice,cond_prac,0,2,18,targ_class2,-330.0,35.0
34,practice,cond_prac,0,2,19,dist_class1,-158.0,-14.0
34,practice,cond_prac,0,2,20,targ_class1,-86.0,-15.0
34,practice,cond_prac,0,2,21,dist_class2,80.0,-23.0
34,practice,cond_prac,0,2,22,targ_class1,195.0,13.0
34,practice,cond_prac,0,2,23,targ_class2,350.0,-14.0
34,practice,cond_prac,0,2,24,dist_class1,475.0,-31.0
34,practice,cond_prac,0,2,25,targ_class1,-440.0,243.0
34,practice,cond_prac,0,2,26,dist_class1,-332.0,220.0
34,practice,cond_prac,0,2,27,dist_class1,-170.0,200.0
34,practice,cond_prac,0,2,28,dist_class1,-70.0,202.0
34,practice,cond_prac,0,2,29,dist_class2,89.0,222.0
34,practice,cond_prac,0,2,30,targ_class1,173.0,223.0
34,practice,cond_prac,0,2,31,dist_class2,338.0,212.0
34,practice,cond_prac,0,2,32,dist_class1,448.0,229.0
34,practice,cond_prac,0,2,33,dist_class2,-472.0,432.0
34,practice,cond_prac,0,2,34,dist_class2,-301.0,474.0
34,practice,cond_prac,0,2,35,targ_class1,-168.0,439.0
34,practice,cond_prac,0,2,36,targ_class2,-92.0,426.0
34,practice,cond_prac,0,2,37,dist_class1,50.0,445.0
34,practice,cond_prac,0,2,38,targ_class2,198.0,443.0
34,practice,cond_prac,0,2,39,targ_class2,317.0,409.0
34,practice,cond_prac,0,2,40,targ_class1,470.0,429.0
34,practice,cond_prac,0,3,1,targ_class1,-443.0,-407.0
34,practice,cond_prac,0,3,2,targ_class2,-325.0,-433.0
34,practice,cond_prac,0,3,3,dist_class2,-226.0,-415.0
34,practice,cond_prac,0,3,4,dist_class1,-107.0,-456.0
34,practice,cond_prac,0,3,5,targ_class1,70.0,-429.0
34,practice,cond_prac,0,3,6,dist_class2,221.0,-407.0
34,practice,cond_prac,0,3,7,targ_class2,315.0,-427.0
34,practice,cond_prac,0,3,8,dist_class1,522.0,-417.0
34,practice,cond_prac,0,3,9,targ_class1,-445.0,-229.0
34,practice,cond_prac,0,3,10,targ_class1,-321.0,-222.0
34,practice,cond_prac,0,3,11,targ_class1,-199.0,-191.0
34,practice,cond_prac,0,3,12,targ_class1,-91.0,-253.0
34,practice,cond_prac,0,3,13,dist_class1,61.0,-193.0
34,practice,cond_prac,0,3,14,targ_class2,204.0,-200.0
34,practice,cond_prac,0,3,15,dist_class2,312.0,-215.0
34,practice,cond_prac,0,3,16,dist_class2,470.0,-226.0
34,practice,cond_prac,0,3,17,dist_class1,-466.0,12.0
34,practice,cond_prac,0,3,18,dist_class2,-333.0,-42.0
34,practice,cond_prac,0,3,19,dist_class1,-184.0,12.0
34,practice,cond_prac,0,3,20,targ_class2,-44.0,-10.0
34,practice,cond_prac,0,3,21,targ_class2,57.0,19.0
34,practice,cond_prac,0,3,22,dist_class2,222.0,5.0
34,practice,cond_prac,0,3,23,targ_class1,357.0,-14.0
34,practice,cond_prac,0,3,24,targ_class1,458.0,-17.0
34,practice,cond_prac,0,3,25,dist_class1,-476.0,207.0
34,practice,cond_prac,0,3,26,dist_class1,-314.0,191.0
34,practice,cond_prac,0,3,27,targ_class2,-201.0,213.0
34,practice,cond_prac,0,3,28,targ_class2,-83.0,193.0
34,practice,cond_prac,0,3,29,dist_class2,65.0,224.0
34,practice,cond_prac,0,3,30,dist_class2,174.0,189.0
34,practice,cond_prac,0,3,31,dist_class1,316.0,177.0
34,practice,cond_prac,0,3,32,targ_class2,467.0,190.0
34,practice,cond_prac,0,3,33,dist_class1,-440.0,419.0
34,practice,cond_prac,0,3,34,dist_class2,-306.0,421.0
34,practice,cond_prac,0,3,35,dist_class1,-197.0,427.0
34,practice,cond_prac,0,3,36,dist_class2,-70.0,401.0
34,practice,cond_prac,0,3,37,targ_class2,67.0,417.0
34,practice,cond_prac,0,3,38,targ_class1,196.0,433.0
34,practice,cond_prac,0,3,39,targ_class1,322.0,431.0
34,practice,cond_prac,0,3,40,targ_class2,462.0,429.0
34,practice,cond_prac,0,4,1,targ_class2,-453.0,-414.0
34,practice,cond_prac,0,4,2,dist_class1,-304.0,-445.0
34,practice,cond_prac,0,4,3,targ_class1,-177.0,-414.0
34,practice,cond_prac,0,4,4,dist_class2,-34.0,-450.0
34,practice,cond_prac,0,4,5,targ_class2,57.0,-446.0
34,practice,cond_prac,0,4,6,dist_class2,186.0,-436.0
34,practice,cond_prac,0,4,7,targ_class2,282.0,-440.0
34,practice,cond_prac,0,4,8,targ_class1,456.0,-413.0
34,practice,cond_prac,0,4,9,targ_class2,-479.0,-209.0
34,practice,cond_prac,0,4,10,targ_class1,-313.0,-210.0
34,practice,cond_prac,0,4,11,targ_class2,-163.0,-201.0
34,practice,cond_prac,0,4,12,dist_class2,-69.0,-204.0
34,practice,cond_prac,0,4,13,dist_class1,56.0,-180.0
34,practice,cond_prac,0,4,14,dist_class2,220.0,-183.0
34,practice,cond_prac,0,4,15,targ_class1,342.0,-218.0
34,practice,cond_prac,0,4,16,dist_class2,434.0,-203.0
34,practice,cond_prac,0,4,17,dist_class2,-453.0,-27.0
34,practice,cond_prac,0,4,18,targ_class2,-326.0,33.0
34,practice,cond_prac,0,4,19,targ_class1,-262.0,-9.0
34,practice,cond_prac,0,4,20,targ_class2,-75.0,-10.0
34,practice,cond_prac,0,4,21,dist_class1,66.0,6.0
34,practice,cond_prac,0,4,22,dist_class1,189.0,3.0
34,practice,cond_prac,0,4,23,targ_class1,302.0,-8.0
34,practice,cond_prac,0,4,24,dist_class1,463.0,3.0
34,practice,cond_prac,0,4,25,targ_class2,-445.0,202.0
34,practice,cond_prac,0,4,26,targ_class2,-319.0,211.0
34,practice,cond_prac,0,4,27,targ_class1,-217.0,218.0
34,practice,cond_prac,0,4,28,dist_class1,-52.0,249.0
34,practice,cond_prac,0,4,29,targ_class1,40.0,215.0
34,practice,cond_prac,0,4,30,dist_class1,214.0,189.0
34,practice,cond_prac,0,4,31,dist_class2,353.0,202.0
34,practice,cond_prac,0,4,32,dist_class2,431.0,249.0
34,practice,cond_prac,0,4,33,dist_class2,-425.0,393.0
34,practice,cond_prac,0,4,34,targ_class1,-293.0,424.0
34,practice,cond_prac,0,4,35,dist_class1,-221.0,387.0
34,practice,cond_prac,0,4,36,dist_class1,-65.0,408.0
34,practice,cond_prac,0,4,37,targ_class2,47.0,415.0
34,practice,cond_prac,0,4,38,targ_class1,198.0,412.0
34,practice,cond_prac,0,4,39,dist_class2,366.0,429.0
34,practice,cond_prac,0,4,40,dist_class1,439.0,437.0
34,practice,cond_prac,0,5,1,dist_class1,-467.0,-416.0
34,practice,cond_prac,0,5,2,targ_class2,-349.0,-445.0
34,practice,cond_prac,0,5,3,dist_class1,-205.0,-465.0
34,practice,cond_prac,0,5,4,targ_class2,-41.0,-422.0
34,practice,cond_prac,0,5,5,dist_class1,30.0,-414.0
34,practice,cond_prac,0,5,6,targ_class2,202.0,-432.0
34,practice,cond_prac,0,5,7,dist_class2,333.0,-457.0
34,practice,cond_prac,0,5,8,dist_class2,446.0,-408.0
34,practice,cond_prac,0,5,9,dist_class1,-458.0,-253.0
34,practice,cond_prac,0,5,10,dist_class1,-286.0,-202.0
34,practice,cond_prac,0,5,11,targ_class1,-175.0,-199.0
34,practice,cond_prac,0,5,12,targ_class2,-43.0,-234.0
34,practice,cond_prac,0,5,13,dist_class1,76.0,-173.0
34,practice,cond_prac,0,5,14,dist_class2,170.0,-251.0
34,practice,cond_prac,0,5,15,targ_class1,340.0,-234.0
34,practice,cond_prac,0,5,16,targ_class1,471.0,-231.0
34,practice,cond_prac,0,5,17,dist_class1,-430.0,11.0
34,practice,cond_prac,0,5,18,targ_class1,-334.0,9.0
34,practice,cond_prac,0,5,19,dist_class2,-163.0,29.0
34,practice,cond_prac,0,5,20,dist_class2,-103.0,32.0
34,practice,cond_prac,0,5,21,dist_class1,44.0,12.0
34,practice,cond_prac,0,5,22,targ_class1,160.0,9.0
34,practice,cond_prac,0,5,23,targ_class1,296.0,19.0
34,practice,cond_prac,0,5,24,targ_class1,469.0,-13.0
34,practice,cond_prac,0,5,25,dist_class2,-416.0,211.0
34,practice,cond_prac,0,5,26,targ_class2,-319.0,221.0
34,practice,cond_prac,0,5,27,dist_class2,-157.0,208.0
34,practice,cond_prac,0,5,28,targ_class2,-87.0,232.0
34,practice,cond_prac,0,5,29,dist_class1,25.0,215.0
34,practice,cond_prac,0,5,30,dist_class2,192.0,218.0
34,practice,cond_prac,0,5,31,dist_class2,311.0,183.0
34,practice,cond_prac,0,5,32,dist_class1,455.0,204.0
34,practice,cond_prac,0,5,33,targ_class2,-459.0,474.0
34,practice,cond_prac,0,5,34,targ_class2,-320.0,417.0
34,practice,cond_prac,0,5,35,targ_class1,-208.0,418.0
34,practice,cond_prac,0,5,36,targ_class1,-80.0,448.0
34,practice,cond_prac,0,5,37,targ_class2,41.0,447.0
34,practice,cond_prac,0,5,38,targ_class2,182.0,448.0
34,practice,cond_prac,0,5,39,dist_class2,323.0,416.0
34,practice,cond_prac,0,5,40,targ_class1,453.0,433.0
34,practice,cond_prac,0,6,1,dist_class2,-454.0,-443.0
34,practice,cond_prac,0,6,2,dist_class1,-326.0,-407.0
34,practice,cond_prac,0,6,3,dist_class1,-202.0,-448.0
34,practice,cond_prac,0,6,4,dist_class2,-51.0,-407.0
34,practice,cond_prac,0,6,5,targ_class1,68.0,-419.0
34,practice,cond_prac,0,6,6,targ_class1,189.0,-431.0
34,practice,cond_prac,0,6,7,targ_class2,317.0,-443.0
34,practice,cond_prac,0,6,8,targ_class1,470.0,-403.0
34,practice,cond_prac,0,6,9,targ_class2,-456.0,-224.0
34,practice,cond_prac,0,6,10,dist_class1,-308.0,-203.0
34,practice,cond_prac,0,6,11,targ_class2,-192.0,-205.0
34,practice,cond_prac,0,6,12,targ_class2,-49.0,-233.0
34,practice,cond_prac,0,6,13,targ_class1,74.0,-210.0
34,practice,cond_prac,0,6,14,targ_class1,167.0,-215.0
34,practice,cond_prac,0,6,15,dist_class1,317.0,-169.0
34,practice,cond_prac,0,6,16,targ_class1,465.0,-226.0
34,practice,cond_prac,0,6,17,dist_class2,-469.0,1.0
34,practice,cond_prac,0,6,18,targ_class2,-304.0,36.0
34,practice,cond_prac,0,6,19,dist_class1,-194.0,43.0
34,practice,cond_prac,0,6,20,dist_class2,-54.0,1.0
34,practice,cond_prac,0,6,21,dist_class2,31.0,10.0
34,practice,cond_prac,0,6,22,targ_class2,205.0,-19.0
34,practice,cond_prac,0,6,23,targ_class1,337.0,3.0
34,practice,cond_prac,0,6,24,dist_class2,407.0,15.0
34,practice,cond_prac,0,6,25,dist_class1,-427.0,204.0
34,practice,cond_prac,0,6,26,targ_class1,-342.0,216.0
34,practice,cond_prac,0,6,27,dist_class2,-189.0,195.0
34,practice,cond_prac,0,6,28,targ_class2,-50.0,206.0
34,practice,cond_prac,0,6,29,dist_class2,65.0,208.0
34,practice,cond_prac,0,6,30,targ_class2,183.0,216.0
34,practice,cond_prac,0,6,31,targ_class2,355.0,207.0
34,practice,cond_prac,0,6,32,targ_class1,451.0,191.0
34,practice,cond_prac,0,6,33,dist_class2,-437.0,431.0
34,practice,cond_prac,0,6,34,dist_class1,-330.0,443.0
34,practice,cond_prac,0,6,35,dist_class1,-174.0,414.0
34,practice,cond_prac,0,6,36,dist_class1,-46.0,426.0
34,practice,cond_prac,0,6,37,dist_class1,82.0,407.0
34,practice,cond_prac,0,6,38,targ_class2,239.0,427.0
34,practice,cond_prac,0,6,39,dist_class2,304.0,439.0
34,practice,cond_prac,0,6,40,targ_class1,483.0,441.0
34,conj_AB,cond_conj_AB,4,1,1,dist_class1,-463.0,-421.0
34,conj_AB,cond_conj_AB,4,1,2,targ_class1,-317.0,-445.0
34,conj_AB,cond_conj_AB,4,1,3,dist_class1,-200.0,-400.0
34,conj_AB,cond_conj_AB,4,1,4,dist_class2,-91.0,-430.0
34,conj_AB,cond_conj_AB,4,1,5,dist_class1,97.0,-445.0
34,conj_AB,cond_conj_AB,4,1,6,dist_class2,184.0,-424.0
34,conj_AB,cond_conj_AB,4,1,7,dist_class2,323.0,-401.0
34,conj_AB,cond_conj_AB,4,1,8,targ_class2,481.0,-438.0
34,conj_AB,cond_conj_AB,4,1,9,targ_class1,-483.0,-187.0
34,conj_AB,cond_conj_AB,4,1,10,targ_class2,-321.0,-174.0
34,conj_AB,cond_conj_AB,4,1,11,targ_class1,-206.0,-209.0
34,conj_AB,cond_conj_AB,4,1,12,targ_class2,-59.0,-233.0
34,conj_AB,cond_conj_AB,4,1,13,dist_class1,69.0,-205.0
34,conj_AB,cond_conj_AB,4,1,14,dist_class2,192.0,-196.0
34,conj_AB,cond_conj_AB,4,1,15,dist_class1,309.0,-215.0
34,conj_AB,cond_conj_AB,4,1,16,dist_class2,420.0,-213.0
34,conj_AB,cond_conj_AB,4,1,17,dist_class2,-459.0,8.0
34,conj_AB,cond_conj_AB,4,1,18,targ_class2,-313.0,13.0
34,conj_AB,cond_conj_AB,4,1,19,dist_class2,-198.0,-16.0
34,conj_AB,cond_conj_AB,4,1,20,dist_class1,-74.0,0.0
34,conj_AB,cond_conj_AB,4,1,21,targ_class1,61.0,9.0
34,conj_AB,cond_conj_AB,4,1,22,targ_class1,211.0,4.0
34,conj_AB,cond_conj_AB,4,1,23,targ_class1,308.0,-2.0
34,conj_AB,cond_conj_AB,4,1,24,dist_class1,456.0,-7.0
34,conj_AB,cond_conj_AB,4,1,25,dist_class1,-447.0,219.0
34,conj_AB,cond_conj_AB,4,1,26,targ_class2,-326.0,232.0
34,conj_AB,cond_conj_AB,4,1,27,targ_class2,-208.0,221.0
34,conj_AB,cond_conj_AB,4,1,28,targ_class2,-97.0,190.0
34,conj_AB,cond_conj_AB,4,1,29,dist_class2,53.0,227.0
34,conj_AB,cond_conj_AB,4,1,30,dist_class2,204.0,190.0
34,conj_AB,cond_conj_AB,4,1,31,dist_class2,315.0,201.0
34,conj_AB,cond_conj_AB,4,1,32,targ_class2,458.0,205.0
34,conj_AB,cond_conj_AB,4,1,33,dist_class1,-454.0,443.0
34,conj_AB,cond_conj_AB,4,1,34,targ_class1,-332.0,474.0
34,conj_AB,cond_conj_AB,4,1,35,targ_class1,-225.0,444.0
34,conj_AB,cond_conj_AB,4,1,36,targ_class2,-37.0,442.0
34,conj_AB,cond_conj_AB,4,1,37,targ_class2,81.0,418.0
34,conj_AB,cond_conj_AB,4,1,38,targ_class1,188.0,445.0
34,conj_AB,cond_conj_AB,4,1,39,targ_class1,321.0,420.0
34,conj_AB,cond_conj_AB,4,1,40,dist_class1,492.0,465.0
34,conj_AB,cond_conj_AB,7,1,1,dist_class1,-449.0,-462.0
34,conj_AB,cond_conj_AB,7,1,2,dist_class2,-363.0,-434.0
34,conj_AB,cond_conj_AB,7,1,3,dist_class2,-169.0,-409.0
34,conj_AB,cond_conj_AB,7,1,4,dist_class2,-77.0,-427.0
34,conj_AB,cond_conj_AB,7,1,5,dist_class2,40.0,-457.0
34,conj_AB,cond_conj_AB,7,1,6,targ_class1,218.0,-428.0
34,conj_AB,cond_conj_AB,7,1,7,dist_class1,334.0,-411.0
34,conj_AB,cond_conj_AB,7,1,8,dist_class1,487.0,-452.0
34,conj_AB,cond_conj_AB,7,1,9,targ_class1,-434.0,-191.0
34,conj_AB,cond_conj_AB,7,1,10,targ_class2,-291.0,-194.0
34,conj_AB,cond_conj_AB,7,1,11,targ_class1,-213.0,-200.0
34,conj_AB,cond_conj_AB,7,1,12,targ_class2,-77.0,-216.0
34,conj_AB,cond_conj_AB,7,1,13,targ_class2,51.0,-213.0
34,conj_AB,cond_conj_AB,7,1,14,dist_class1,163.0,-209.0
34,conj_AB,cond_conj_AB,7,1,15,targ_class1,327.0,-202.0
34,conj_AB,cond_conj_AB,7,1,16,dist_class2,472.0,-228.0
34,conj_AB,cond_conj_AB,7,1,17,dist_class2,-423.0,-11.0
34,conj_AB,cond_conj_AB,7,1,18,dist_class2,-311.0,3.0
34,conj_AB,cond_conj_AB,7,1,19,targ_class1,-179.0,-29.0
34,conj_AB,cond_conj_AB,7,1,20,targ_class2,-62.0,23.0
34,conj_AB,cond_conj_AB,7,1,21,targ_class1,45.0,5.0
34,conj_AB,cond_conj_AB,7,1,22,dist_class2,167.0,-5.0
34,conj_AB,cond_conj_AB,7,1,23,targ_class2,349.0,-6.0
34,conj_AB,cond_conj_AB,7,1,24,targ_class2,473.0,-30.0
34,conj_AB,cond_conj_AB,7,1,25,targ_class2,-509.0,221.0
34,conj_AB,cond_conj_AB,7,1,26,dist_class1,-296.0,204.0
34,conj_AB,cond_conj_AB,7,1,27,dist_class2,-184.0,220.0
34,conj_AB,cond_conj_AB,7,1,28,targ_class1,-73.0,196.0
34,conj_AB,cond_conj_AB,7,1,29,targ_class2,65.0,196.0
34,conj_AB,cond_conj_AB,7,1,30,dist_class2,195.0,208.0
34,conj_AB,cond_conj_AB,7,1,31,targ_class2,342.0,206.0
34,conj_AB,cond_conj_AB,7,1,32,dist_class1,471.0,219.0
34,conj_AB,cond_conj_AB,7,1,33,targ_class2,-450.0,423.0
34,conj_AB,cond_conj_AB,7,1,34,dist_class1,-293.0,411.0
34,conj_AB,cond_conj_AB,7,1,35,targ_class1,-172.0,419.0
34,conj_AB,cond_conj_AB,7,1,36,targ_class1,-48.0,456.0
34,conj_AB,cond_conj_AB,7,1,37,dist_class1,82.0,460.0
34,conj_AB,cond_conj_AB,7,1,38,dist_class1,166.0,399.0
34,conj_AB,cond_conj_AB,7,1,39,targ_class1,298.0,412.0
34,conj_AB,cond_conj_AB,7,1,40,dist_class1,459.0,411.0
34,conj_AB,cond_conj_AB,9,1,1,targ_class1,-442.0,-430.0
34,conj_AB,cond_conj_AB,9,1,2,dist_class2,-346.0,-455.0
34,conj_AB,cond_conj_AB,9,1,3,targ_class2,-198.0,-395.0
34,conj_AB,cond_conj_AB,9,1,4,dist_class2,-58.0,-415.0
34,conj_AB,cond_conj_AB,9,1,5,dist_class1,78.0,-432.0
