person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
35,practice,cond_prac,0,1,34,0,0,dist_class1,-356.0,455.0,3.97
35,practice,cond_prac,0,2,34,0,0,dist_class2,-326.0,424.0,2.54
35,practice,cond_prac,0,3,34,0,0,dist_class1,-307.0,401.0,1.04
35,practice,cond_prac,0,4,36,1,1,targ_class2,-83.0,414.0,1.55
35,practice,cond_prac,0,4,40,2,2,targ_class2,445.0,418.0,2.79
35,practice,cond_prac,0,4,28,3,3,targ_class2,-123.0,243.0,4.75
35,practice,cond_prac,0,4,31,4,4,targ_class2,366.0,226.0,5.92
35,practice,cond_prac,0,4,32,5,5,targ_class2,444.0,194.0,7.52
35,practice,cond_prac,0,4,23,6,6,targ_class2,319.0,-10.0,8.92
35,practice,cond_prac,0,4,20,7,7,targ_class2,-47.0,10.0,9.95
35,practice,cond_prac,0,4,14,8,8,targ_class2,210.0,-227.0,11.52
35,practice,cond_prac,0,4,6,9,9,targ_class2,185.0,-418.0,12.18
35,practice,cond_prac,0,4,4,10,10,targ_class2,-82.0,-432.0,12.98
35,practice,cond_prac,0,4,10,11,11,targ_class1,-319.0,-208.0,14.35
35,practice,cond_prac,0,4,11,12,12,targ_class1,-192.0,-201.0,15.65
35,practice,cond_prac,0,4,13,13,13,targ_class1,86.0,-208.0,16.52
35,practice,cond_prac,0,4,15,14,14,targ_class1,327.0,-207.0,19.65
35,practice,cond_prac,0,4,17,15,15,targ_class1,-425.0,35.0,22.13
35,practice,cond_prac,0,4,21,16,16,targ_class1,69.0,-22.0,23.56
35,practice,cond_prac,0,4,37,17,17,targ_class1,86.0,454.0,25.25
35,practice,cond_prac,0,4,35,18,18,targ_class1,-173.0,445.0,26.08
35,practice,cond_prac,0,4,38,19,19,targ_class1,164.0,460.0,27.35
35,practice,cond_prac,0,4,39,20,20,targ_class1,312.0,452.0,29.52
35,conj_A,cond_conj_A,7,1,36,1,1,targ_class1,-60.0,437.0,2.67
35,conj_A,cond_conj_A,7,1,37,2,2,targ_class2,104.0,407.0,3.54
35,conj_A,cond_conj_A,7,1,39,3,3,targ_class2,320.0,445.0,4.53
35,conj_A,cond_conj_A,7,1,25,4,4,targ_class2,-453.0,212.0,7.83
35,conj_A,cond_conj_A,7,1,27,5,5,targ_class2,-195.0,231.0,9.7
35,conj_A,cond_conj_A,7,1,28,6,6,targ_class2,-42.0,252.0,10.5
35,conj_A,cond_conj_A,7,1,29,7,7,targ_class1,65.0,219.0,12.8
35,conj_A,cond_conj_A,7,1,30,8,8,targ_class2,225.0,238.0,13.6
35,conj_A,cond_conj_A,7,1,32,9,9,targ_class2,448.0,213.0,14.6
35,conj_A,cond_conj_A,7,1,24,10,10,targ_class2,433.0,-15.0,15.37
35,conj_A,cond_conj_A,7,1,22,11,11,targ_class2,205.0,-5.0,16.1
35,conj_A,cond_conj_A,7,1,21,12,12,targ_class1,57.0,4.0,17.1
35,conj_A,cond_conj_A,7,1,20,13,13,targ_class2,-66.0,18.0,17.87
35,conj_A,cond_conj_A,7,1,18,14,14,targ_class2,-327.0,18.0,18.82
35,conj_A,cond_conj_A,7,1,9,15,15,targ_class1,-505.0,-242.0,21.46
35,conj_A,cond_conj_A,7,1,13,16,16,targ_class2,37.0,-230.0,23.03
35,conj_A,cond_conj_A,7,1,15,17,17,targ_class2,344.0,-212.0,23.83
35,conj_A,cond_conj_A,7,1,16,18,18,targ_class2,454.0,-209.0,24.31
35,conj_A,cond_conj_A,7,1,8,19,19,targ_class1,477.0,-427.0,25.03
35,conj_A,cond_conj_A,7,1,5,20,20,targ_class2,65.0,-400.0,26.78
35,conj_A,cond_conj_A,4,1,35,1,1,targ_class2,-198.0,414.0,3.0
35,conj_A,cond_conj_A,4,1,36,2,2,targ_class1,-71.0,425.0,3.67
35,conj_A,cond_conj_A,4,1,39,3,3,targ_class2,333.0,435.0,6.14
35,conj_A,cond_conj_A,4,1,40,4,4,targ_class1,436.0,441.0,7.34
35,conj_A,cond_conj_A,4,1,32,5,5,targ_class2,444.0,201.0,8.8
35,conj_A,cond_conj_A,4,1,29,6,6,targ_class2,69.0,205.0,9.57
35,conj_A,cond_conj_A,4,1,26,7,7,targ_class2,-299.0,238.0,10.93
35,conj_A,cond_conj_A,4,1,25,8,8,targ_class2,-479.0,196.0,11.6
35,conj_A,cond_conj_A,4,1,17,9,9,targ_class1,-461.0,-31.0,12.37
35,conj_A,cond_conj_A,4,1,18,10,10,targ_class2,-319.0,12.0,13.0
35,conj_A,cond_conj_A,4,1,19,11,11,targ_class2,-207.0,13.0,13.73
35,conj_A,cond_conj_A,4,1,22,12,12,targ_class2,178.0,25.0,14.6
35,conj_A,cond_conj_A,4,1,24,13,13,targ_class1,467.0,10.0,15.67
35,conj_A,cond_conj_A,4,1,14,14,14,targ_class2,179.0,-209.0,18.2
35,conj_A,cond_conj_A,4,1,13,15,15,targ_class2,55.0,-193.0,18.76
35,conj_A,cond_conj_A,4,1,9,16,16,targ_class1,-463.0,-254.0,21.8
35,conj_A,cond_conj_A,4,1,1,17,17,targ_class2,-450.0,-435.0,22.96
35,conj_A,cond_conj_A,4,1,3,18,18,targ_class2,-191.0,-419.0,23.68
35,conj_A,cond_conj_A,4,1,5,19,19,targ_class2,57.0,-416.0,24.56
35,conj_A,cond_conj_A,4,1,6,20,20,targ_class2,185.0,-459.0,25.18
35,conj_A,cond_conj_A,3,1,35,1,1,targ_class1,-203.0,383.0,1.8
35,conj_A,cond_conj_A,3,1,36,2,2,targ_class2,-49.0,413.0,2.74
35,conj_A,cond_conj_A,3,1,38,3,3,targ_class2,203.0,448.0,3.44
35,conj_A,cond_conj_A,3,1,39,4,4,targ_class2,358.0,438.0,4.24
35,conj_A,cond_conj_A,3,1,25,5,5,targ_class1,-500.0,228.0,12.0
35,conj_A,cond_conj_A,3,1,29,6,6,targ_class1,28.0,218.0,13.03
35,conj_A,cond_conj_A,3,1,28,7,7,targ_class2,-35.0,238.0,13.57
35,conj_A,cond_conj_A,3,1,24,8,8,targ_class2,466.0,-3.0,16.0
35,conj_A,cond_conj_A,3,1,23,9,9,targ_class2,295.0,-14.0,16.53
35,conj_A,cond_conj_A,3,1,17,10,10,targ_class1,-458.0,-30.0,18.43
35,conj_A,cond_conj_A,3,1,18,11,11,targ_class2,-351.0,-32.0,19.3
35,conj_A,cond_conj_A,3,1,11,12,12,targ_class2,-194.0,-202.0,20.3
35,conj_A,cond_conj_A,3,1,12,13,13,targ_class2,-62.0,-213.0,21.07
35,conj_A,cond_conj_A,3,1,14,14,14,targ_class2,181.0,-211.0,21.78
35,conj_A,cond_conj_A,3,1,16,15,15,targ_class2,435.0,-196.0,22.48
35,conj_A,cond_conj_A,3,1,15,16,16,targ_class1,339.0,-251.0,23.08
35,conj_A,cond_conj_A,3,1,6,17,17,targ_class2,202.0,-436.0,23.8
35,conj_A,cond_conj_A,3,1,4,18,18,targ_class2,-43.0,-449.0,24.58
35,conj_A,cond_conj_A,3,1,3,19,19,targ_class2,-186.0,-459.0,25.35
35,conj_A,cond_conj_A,3,1,1,20,20,targ_class2,-491.0,-467.0,26.98
35,conj_A,cond_conj_A,2,1,33,1,1,targ_class1,-467.0,420.0,1.47
35,conj_A,cond_conj_A,2,1,34,2,2,targ_class1,-334.0,428.0,2.17
35,conj_A,cond_conj_A,2,1,36,3,3,targ_class2,-93.0,427.0,2.84
35,conj_A,cond_conj_A,2,1,37,4,4,targ_class2,27.0,413.0,3.37
35,conj_A,cond_conj_A,2,1,38,5,5,targ_class2,173.0,437.0,4.0
