person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
4,feature_B,cond_feature_B,7,1,17,1,1,targ_class2,-439.0,-22.0,2.27
4,feature_B,cond_feature_B,7,1,25,2,2,targ_class2,-444.0,224.0,3.34
4,feature_B,cond_feature_B,7,1,26,3,3,targ_class1,-360.0,202.0,3.97
4,feature_B,cond_feature_B,7,1,35,4,4,targ_class1,-179.0,448.0,4.87
4,feature_B,cond_feature_B,7,1,36,5,5,targ_class1,-42.0,409.0,5.4
4,feature_B,cond_feature_B,7,1,37,6,6,targ_class1,78.0,428.0,5.87
4,feature_B,cond_feature_B,7,1,32,7,7,targ_class2,451.0,207.0,6.87
4,feature_B,cond_feature_B,7,1,40,8,8,targ_class1,478.0,454.0,7.6
4,feature_B,cond_feature_B,7,1,31,9,9,targ_class1,339.0,212.0,8.3
4,feature_B,cond_feature_B,7,1,23,10,10,targ_class1,328.0,-20.0,8.73
4,feature_B,cond_feature_B,7,1,22,11,11,targ_class1,188.0,-9.0,9.2
4,feature_B,cond_feature_B,7,1,6,12,12,targ_class2,228.0,-418.0,10.83
4,feature_B,cond_feature_B,7,1,7,13,13,targ_class1,359.0,-410.0,11.4
4,feature_B,cond_feature_B,7,1,8,14,14,targ_class1,418.0,-399.0,11.77
4,feature_B,cond_feature_B,7,1,5,15,15,targ_class1,112.0,-434.0,12.4
4,feature_B,cond_feature_B,7,1,3,16,16,targ_class1,-188.0,-461.0,13.25
4,feature_B,cond_feature_B,7,1,11,17,17,targ_class1,-206.0,-235.0,13.87
4,feature_B,cond_feature_B,7,1,19,18,18,targ_class1,-191.0,-6.0,14.48
4,feature_B,cond_feature_B,7,1,9,19,19,targ_class2,-472.0,-226.0,15.15
4,feature_B,cond_feature_B,7,1,1,20,20,targ_class1,-459.0,-438.0,15.68
4,feature_B,cond_feature_B,2,1,10,1,1,targ_class2,-338.0,-212.0,1.37
4,feature_B,cond_feature_B,2,1,9,2,2,targ_class1,-419.0,-237.0,1.83
4,feature_B,cond_feature_B,2,1,2,3,3,targ_class2,-340.0,-409.0,2.43
4,feature_B,cond_feature_B,2,1,18,4,4,targ_class1,-301.0,-26.0,3.33
4,feature_B,cond_feature_B,2,1,17,5,5,targ_class1,-424.0,6.0,4.0
4,feature_B,cond_feature_B,2,1,27,6,6,targ_class1,-240.0,197.0,4.57
4,feature_B,cond_feature_B,2,1,34,7,7,targ_class1,-316.0,433.0,5.2
4,feature_B,cond_feature_B,2,1,35,8,8,targ_class1,-206.0,450.0,5.64
4,feature_B,cond_feature_B,2,1,36,9,9,targ_class1,-74.0,403.0,6.14
4,feature_B,cond_feature_B,2,1,38,10,10,targ_class1,204.0,415.0,6.7
4,feature_B,cond_feature_B,2,1,31,11,11,targ_class2,324.0,229.0,7.64
4,feature_B,cond_feature_B,2,1,24,12,12,targ_class1,443.0,-12.0,8.2
4,feature_B,cond_feature_B,2,1,22,13,13,targ_class1,185.0,-13.0,8.75
4,feature_B,cond_feature_B,2,1,21,14,14,targ_class1,10.0,-1.0,9.25
4,feature_B,cond_feature_B,2,1,13,15,15,targ_class1,55.0,-220.0,9.8
4,feature_B,cond_feature_B,2,1,15,16,16,targ_class2,291.0,-245.0,10.72
4,feature_B,cond_feature_B,2,1,8,17,17,targ_class2,448.0,-441.0,11.27
4,feature_B,cond_feature_B,2,1,7,18,18,targ_class1,310.0,-441.0,11.8
4,feature_B,cond_feature_B,2,1,6,19,19,targ_class1,159.0,-403.0,12.25
4,feature_B,cond_feature_B,2,1,5,20,20,targ_class1,75.0,-417.0,12.63
