person,block,condition,trial,attempt,id,item_class,x,y
4,feature_B,cond_feature_B,7,1,1,targ_class1,-459.0,-438.0
4,feature_B,cond_feature_B,7,1,2,dist_class1,-339.0,-404.0
4,feature_B,cond_feature_B,7,1,3,targ_class1,-188.0,-461.0
4,feature_B,cond_feature_B,7,1,4,dist_class2,-76.0,-422.0
4,feature_B,cond_feature_B,7,1,5,targ_class1,112.0,-434.0
4,feature_B,cond_feature_B,7,1,6,targ_class2,228.0,-418.0
4,feature_B,cond_feature_B,7,1,7,targ_class1,359.0,-410.0
4,feature_B,cond_feature_B,7,1,8,targ_class1,418.0,-399.0
4,feature_B,cond_feature_B,7,1,9,targ_class2,-472.0,-226.0
4,feature_B,cond_feature_B,7,1,10,dist_class1,-317.0,-247.0
4,feature_B,cond_feature_B,7,1,11,targ_class1,-206.0,-235.0
4,feature_B,cond_feature_B,7,1,12,dist_class1,-83.0,-211.0
4,feature_B,cond_feature_B,7,1,13,dist_class1,75.0,-226.0
4,feature_B,cond_feature_B,7,1,14,dist_class1,174.0,-191.0
4,feature_B,cond_feature_B,7,1,15,dist_class2,317.0,-219.0
4,feature_B,cond_feature_B,7,1,16,dist_class2,438.0,-234.0
4,feature_B,cond_feature_B,7,1,17,targ_class2,-439.0,-22.0
4,feature_B,cond_feature_B,7,1,18,dist_class2,-312.0,-6.0
4,feature_B,cond_feature_B,7,1,19,targ_class1,-191.0,-6.0
4,feature_B,cond_feature_B,7,1,20,dist_class2,-50.0,-23.0
4,feature_B,cond_feature_B,7,1,21,dist_class1,91.0,-7.0
4,feature_B,cond_feature_B,7,1,22,targ_class1,188.0,-9.0
4,feature_B,cond_feature_B,7,1,23,targ_class1,328.0,-20.0
4,feature_B,cond_feature_B,7,1,24,dist_class2,454.0,-19.0
4,feature_B,cond_feature_B,7,1,25,targ_class2,-444.0,224.0
4,feature_B,cond_feature_B,7,1,26,targ_class1,-360.0,202.0
4,feature_B,cond_feature_B,7,1,27,dist_class2,-174.0,193.0
4,feature_B,cond_feature_B,7,1,28,dist_class1,-88.0,253.0
4,feature_B,cond_feature_B,7,1,29,dist_class2,65.0,240.0
4,feature_B,cond_feature_B,7,1,30,dist_class2,199.0,262.0
4,feature_B,cond_feature_B,7,1,31,targ_class1,339.0,212.0
4,feature_B,cond_feature_B,7,1,32,targ_class2,451.0,207.0
4,feature_B,cond_feature_B,7,1,33,dist_class1,-464.0,432.0
4,feature_B,cond_feature_B,7,1,34,dist_class2,-334.0,439.0
4,feature_B,cond_feature_B,7,1,35,targ_class1,-179.0,448.0
4,feature_B,cond_feature_B,7,1,36,targ_class1,-42.0,409.0
4,feature_B,cond_feature_B,7,1,37,targ_class1,78.0,428.0
4,feature_B,cond_feature_B,7,1,38,dist_class1,198.0,429.0
4,feature_B,cond_feature_B,7,1,39,dist_class1,327.0,442.0
4,feature_B,cond_feature_B,7,1,40,targ_class1,478.0,454.0
4,feature_B,cond_feature_B,2,1,1,dist_class1,-437.0,-436.0
4,feature_B,cond_feature_B,2,1,2,targ_class2,-340.0,-409.0
4,feature_B,cond_feature_B,2,1,3,dist_class1,-185.0,-448.0
4,feature_B,cond_feature_B,2,1,4,dist_class2,-81.0,-420.0
4,feature_B,cond_feature_B,2,1,5,targ_class1,75.0,-417.0
4,feature_B,cond_feature_B,2,1,6,targ_class1,159.0,-403.0
4,feature_B,cond_feature_B,2,1,7,targ_class1,310.0,-441.0
4,feature_B,cond_feature_B,2,1,8,targ_class2,448.0,-441.0
4,feature_B,cond_feature_B,2,1,9,targ_class1,-419.0,-237.0
4,feature_B,cond_feature_B,2,1,10,targ_class2,-338.0,-212.0
4,feature_B,cond_feature_B,2,1,11,dist_class2,-227.0,-205.0
4,feature_B,cond_feature_B,2,1,12,dist_class1,-79.0,-221.0
4,feature_B,cond_feature_B,2,1,13,targ_class1,55.0,-220.0
4,feature_B,cond_feature_B,2,1,14,dist_class2,182.0,-221.0
4,feature_B,cond_feature_B,2,1,15,targ_class2,291.0,-245.0
4,feature_B,cond_feature_B,2,1,16,dist_class1,460.0,-245.0
4,feature_B,cond_feature_B,2,1,17,targ_class1,-424.0,6.0
4,feature_B,cond_feature_B,2,1,18,targ_class1,-301.0,-26.0
4,feature_B,cond_feature_B,2,1,19,dist_class1,-189.0,-35.0
4,feature_B,cond_feature_B,2,1,20,dist_class1,-98.0,20.0
4,feature_B,cond_feature_B,2,1,21,targ_class1,10.0,-1.0
4,feature_B,cond_feature_B,2,1,22,targ_class1,185.0,-13.0
4,feature_B,cond_feature_B,2,1,23,dist_class2,316.0,25.0
4,feature_B,cond_feature_B,2,1,24,targ_class1,443.0,-12.0
4,feature_B,cond_feature_B,2,1,25,dist_class1,-436.0,192.0
4,feature_B,cond_feature_B,2,1,26,dist_class2,-316.0,197.0
4,feature_B,cond_feature_B,2,1,27,targ_class1,-240.0,197.0
4,feature_B,cond_feature_B,2,1,28,dist_class2,-53.0,197.0
4,feature_B,cond_feature_B,2,1,29,dist_class2,60.0,208.0
4,feature_B,cond_feature_B,2,1,30,dist_class2,233.0,220.0
4,feature_B,cond_feature_B,2,1,31,targ_class2,324.0,229.0
4,feature_B,cond_feature_B,2,1,32,dist_class2,491.0,184.0
4,feature_B,cond_feature_B,2,1,33,dist_class1,-457.0,427.0
4,feature_B,cond_feature_B,2,1,34,targ_class1,-316.0,433.0
4,feature_B,cond_feature_B,2,1,35,targ_class1,-206.0,450.0
4,feature_B,cond_feature_B,2,1,36,targ_class1,-74.0,403.0
4,feature_B,cond_feature_B,2,1,37,dist_class1,93.0,452.0
4,feature_B,cond_feature_B,2,1,38,targ_class1,204.0,415.0
4,feature_B,cond_feature_B,2,1,39,dist_class2,301.0,419.0
4,feature_B,cond_feature_B,2,1,40,dist_class1,436.0,440.0
4,feature_B,cond_feature_B,6,1,1,dist_class1,-423.0,-429.0
4,feature_B,cond_feature_B,6,1,2,targ_class2,-357.0,-418.0
4,feature_B,cond_feature_B,6,1,3,targ_class1,-185.0,-393.0
4,feature_B,cond_feature_B,6,1,4,dist_class1,-95.0,-436.0
4,feature_B,cond_feature_B,6,1,5,targ_class1,42.0,-403.0
4,feature_B,cond_feature_B,6,1,6,dist_class2,175.0,-443.0
4,feature_B,cond_feature_B,6,1,7,targ_class1,347.0,-417.0
4,feature_B,cond_feature_B,6,1,8,targ_class1,431.0,-433.0
4,feature_B,cond_feature_B,6,1,9,targ_class1,-418.0,-268.0
4,feature_B,cond_feature_B,6,1,10,targ_class1,-271.0,-231.0
4,feature_B,cond_feature_B,6,1,11,targ_class1,-180.0,-208.0
4,feature_B,cond_feature_B,6,1,12,targ_class2,-52.0,-198.0
4,feature_B,cond_feature_B,6,1,13,targ_class2,61.0,-225.0
4,feature_B,cond_feature_B,6,1,14,dist_class2,154.0,-225.0
4,feature_B,cond_feature_B,6,1,15,dist_class2,349.0,-191.0
4,feature_B,cond_feature_B,6,1,16,dist_class1,460.0,-184.0
4,feature_B,cond_feature_B,6,1,17,dist_class1,-467.0,8.0
4,feature_B,cond_feature_B,6,1,18,dist_class1,-274.0,-12.0
4,feature_B,cond_feature_B,6,1,19,targ_class1,-210.0,-14.0
4,feature_B,cond_feature_B,6,1,20,dist_class1,-83.0,-17.0
4,feature_B,cond_feature_B,6,1,21,dist_class2,83.0,-20.0
4,feature_B,cond_feature_B,6,1,22,targ_class1,175.0,4.0
4,feature_B,cond_feature_B,6,1,23,targ_class1,289.0,-2.0
4,feature_B,cond_feature_B,6,1,24,targ_class2,468.0,-0.0
4,feature_B,cond_feature_B,6,1,25,dist_class2,-493.0,195.0
