person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
43,practice,cond_prac,0,1,34,1,1,targ_class2,-320.0,444.0,2.1
43,practice,cond_prac,0,1,35,2,2,targ_class1,-198.0,440.0,2.87
43,practice,cond_prac,0,1,40,3,3,targ_class2,447.0,446.0,3.67
43,practice,cond_prac,0,1,32,4,4,targ_class2,461.0,218.0,4.47
43,practice,cond_prac,0,1,24,5,5,targ_class2,453.0,-10.0,5.17
43,practice,cond_prac,0,1,16,6,6,targ_class2,430.0,-220.0,5.67
43,practice,cond_prac,0,1,15,7,7,targ_class2,349.0,-235.0,6.2
43,practice,cond_prac,0,1,13,8,8,targ_class2,55.0,-201.0,7.03
43,practice,cond_prac,0,1,21,9,9,targ_class2,86.0,9.0,7.57
43,practice,cond_prac,0,1,22,10,10,targ_class1,175.0,34.0,8.13
43,practice,cond_prac,0,1,20,11,11,targ_class1,-52.0,-16.0,8.8
43,practice,cond_prac,0,1,25,12,12,targ_class2,-457.0,215.0,11.53
43,practice,cond_prac,0,1,27,13,13,targ_class2,-202.0,217.0,12.33
43,practice,cond_prac,0,1,37,14,14,targ_class1,70.0,452.0,13.12
43,practice,cond_prac,0,1,23,15,15,targ_class1,349.0,-13.0,13.82
43,practice,cond_prac,0,1,5,16,16,targ_class1,57.0,-428.0,15.15
43,practice,cond_prac,0,1,3,17,17,targ_class1,-213.0,-444.0,16.15
43,practice,cond_prac,0,1,17,18,18,targ_class1,-484.0,47.0,17.1
43,practice,cond_prac,0,1,26,19,19,targ_class1,-322.0,197.0,17.82
43,practice,cond_prac,0,1,30,20,20,targ_class1,187.0,249.0,18.83
43,feature_AB,cond_feature_AB,2,1,35,1,1,targ_class1,-195.0,422.0,2.57
43,feature_AB,cond_feature_AB,2,1,36,2,2,targ_class1,-79.0,420.0,3.2
43,feature_AB,cond_feature_AB,2,1,37,3,3,targ_class1,90.0,382.0,3.77
43,feature_AB,cond_feature_AB,2,1,38,4,4,targ_class2,192.0,449.0,4.27
43,feature_AB,cond_feature_AB,2,1,39,5,5,targ_class2,341.0,428.0,4.74
43,feature_AB,cond_feature_AB,2,1,40,6,6,targ_class1,449.0,423.0,5.1
43,feature_AB,cond_feature_AB,2,1,24,7,7,targ_class1,450.0,13.0,5.8
43,feature_AB,cond_feature_AB,2,1,22,8,8,targ_class1,203.0,18.0,6.53
43,feature_AB,cond_feature_AB,2,1,19,9,9,targ_class1,-197.0,18.0,7.23
43,feature_AB,cond_feature_AB,2,1,25,10,10,targ_class2,-451.0,212.0,7.87
43,feature_AB,cond_feature_AB,2,1,28,11,11,targ_class2,-84.0,213.0,8.57
43,feature_AB,cond_feature_AB,2,1,29,12,12,targ_class2,52.0,217.0,9.27
43,feature_AB,cond_feature_AB,2,1,15,13,13,targ_class2,334.0,-226.0,10.05
43,feature_AB,cond_feature_AB,2,1,7,14,14,targ_class2,358.0,-402.0,10.65
43,feature_AB,cond_feature_AB,2,1,8,15,15,targ_class1,462.0,-447.0,11.22
43,feature_AB,cond_feature_AB,2,1,5,16,16,targ_class1,90.0,-403.0,11.97
43,feature_AB,cond_feature_AB,2,1,13,17,17,targ_class1,76.0,-194.0,12.53
43,feature_AB,cond_feature_AB,2,1,10,18,18,targ_class2,-322.0,-204.0,13.48
43,feature_AB,cond_feature_AB,2,1,1,19,19,targ_class2,-447.0,-408.0,14.22
43,feature_AB,cond_feature_AB,2,1,3,20,20,targ_class2,-208.0,-433.0,14.82
43,feature_AB,cond_feature_AB,8,1,39,1,1,targ_class2,296.0,421.0,1.44
43,feature_AB,cond_feature_AB,8,1,40,2,2,targ_class2,489.0,437.0,2.2
43,feature_AB,cond_feature_AB,8,1,17,3,3,targ_class2,-451.0,8.0,3.27
43,feature_AB,cond_feature_AB,8,1,25,4,4,targ_class1,-472.0,205.0,3.8
43,feature_AB,cond_feature_AB,8,1,34,5,5,targ_class1,-327.0,435.0,4.44
43,feature_AB,cond_feature_AB,8,1,35,6,6,targ_class1,-228.0,416.0,4.94
43,feature_AB,cond_feature_AB,8,1,37,7,7,targ_class1,28.0,438.0,5.64
43,feature_AB,cond_feature_AB,8,1,38,8,8,targ_class1,219.0,440.0,6.07
43,feature_AB,cond_feature_AB,8,1,30,9,9,targ_class1,147.0,181.0,6.73
43,feature_AB,cond_feature_AB,8,1,32,10,10,targ_class1,464.0,205.0,7.33
43,feature_AB,cond_feature_AB,8,1,24,11,11,targ_class2,437.0,-3.0,8.0
43,feature_AB,cond_feature_AB,8,1,23,12,12,targ_class2,335.0,12.0,8.53
43,feature_AB,cond_feature_AB,8,1,20,13,13,targ_class1,-59.0,-8.0,9.4
43,feature_AB,cond_feature_AB,8,1,26,14,14,targ_class1,-322.0,208.0,10.63
43,feature_AB,cond_feature_AB,8,1,9,15,15,targ_class2,-446.0,-210.0,11.57
43,feature_AB,cond_feature_AB,8,1,10,16,16,targ_class1,-303.0,-236.0,12.17
43,feature_AB,cond_feature_AB,8,1,12,17,17,targ_class2,-54.0,-189.0,12.63
43,feature_AB,cond_feature_AB,8,1,8,18,18,targ_class2,469.0,-440.0,13.95
43,feature_AB,cond_feature_AB,8,1,1,19,19,targ_class2,-451.0,-429.0,15.13
43,feature_AB,cond_feature_AB,8,1,5,20,20,targ_class2,46.0,-418.0,15.72
43,feature_AB,cond_feature_AB,7,1,33,1,1,targ_class1,-465.0,421.0,1.04
43,feature_AB,cond_feature_AB,7,1,34,2,2,targ_class1,-350.0,433.0,1.4
43,feature_AB,cond_feature_AB,7,1,35,3,3,targ_class1,-192.0,433.0,2.07
43,feature_AB,cond_feature_AB,7,1,38,4,4,targ_class2,185.0,423.0,2.77
43,feature_AB,cond_feature_AB,7,1,31,5,5,targ_class1,333.0,202.0,4.17
43,feature_AB,cond_feature_AB,7,1,17,6,6,targ_class1,-480.0,8.0,5.1
43,feature_AB,cond_feature_AB,7,1,20,7,7,targ_class2,-129.0,7.0,6.03
43,feature_AB,cond_feature_AB,7,1,23,8,8,targ_class1,301.0,-3.0,6.7
43,feature_AB,cond_feature_AB,7,1,24,9,9,targ_class1,472.0,-38.0,7.13
43,feature_AB,cond_feature_AB,7,1,6,10,10,targ_class1,206.0,-452.0,7.83
43,feature_AB,cond_feature_AB,7,1,13,11,11,targ_class1,48.0,-228.0,8.73
43,feature_AB,cond_feature_AB,7,1,11,12,12,targ_class1,-160.0,-185.0,9.27
43,feature_AB,cond_feature_AB,7,1,12,13,13,targ_class2,-57.0,-233.0,9.72
43,feature_AB,cond_feature_AB,7,1,10,14,14,targ_class2,-307.0,-204.0,10.22
43,feature_AB,cond_feature_AB,7,1,9,15,15,targ_class2,-457.0,-221.0,10.75
43,feature_AB,cond_feature_AB,7,1,1,16,16,targ_class2,-452.0,-413.0,11.68
43,feature_AB,cond_feature_AB,7,1,2,17,17,targ_class2,-306.0,-397.0,12.28
43,feature_AB,cond_feature_AB,7,1,3,18,18,targ_class2,-202.0,-422.0,12.68
43,feature_AB,cond_feature_AB,7,1,14,19,19,targ_class2,212.0,-205.0,13.48
43,feature_AB,cond_feature_AB,7,1,7,20,20,targ_class2,342.0,-445.0,14.18
43,feature_AB,cond_feature_AB,3,1,34,1,1,targ_class2,-320.0,410.0,0.94
43,feature_AB,cond_feature_AB,3,1,36,2,2,targ_class2,-85.0,429.0,1.6
43,feature_AB,cond_feature_AB,3,1,38,3,3,targ_class1,202.0,425.0,2.2
