person,block,condition,trial,attempt,id,item_class,x,y
43,practice,cond_prac,0,1,1,dist_class2,-455.0,-455.0
43,practice,cond_prac,0,1,2,dist_class2,-336.0,-443.0
43,practice,cond_prac,0,1,3,targ_class1,-213.0,-444.0
43,practice,cond_prac,0,1,4,dist_class2,-74.0,-435.0
43,practice,cond_prac,0,1,5,targ_class1,57.0,-428.0
43,practice,cond_prac,0,1,6,dist_class2,175.0,-436.0
43,practice,cond_prac,0,1,7,dist_class1,326.0,-415.0
43,practice,cond_prac,0,1,8,dist_class1,468.0,-421.0
43,practice,cond_prac,0,1,9,dist_class2,-418.0,-219.0
43,practice,cond_prac,0,1,10,dist_class1,-337.0,-210.0
43,practice,cond_prac,0,1,11,dist_class1,-204.0,-203.0
43,practice,cond_prac,0,1,12,dist_class1,-75.0,-163.0
43,practice,cond_prac,0,1,13,targ_class2,55.0,-201.0
43,practice,cond_prac,0,1,14,dist_class2,224.0,-222.0
43,practice,cond_prac,0,1,15,targ_class2,349.0,-235.0
43,practice,cond_prac,0,1,16,targ_class2,430.0,-220.0
43,practice,cond_prac,0,1,17,targ_class1,-484.0,47.0
43,practice,cond_prac,0,1,18,dist_class1,-303.0,-1.0
43,practice,cond_prac,0,1,19,dist_class1,-212.0,-31.0
43,practice,cond_prac,0,1,20,targ_class1,-52.0,-16.0
43,practice,cond_prac,0,1,21,targ_class2,86.0,9.0
43,practice,cond_prac,0,1,22,targ_class1,175.0,34.0
43,practice,cond_prac,0,1,23,targ_class1,349.0,-13.0
43,practice,cond_prac,0,1,24,targ_class2,453.0,-10.0
43,practice,cond_prac,0,1,25,targ_class2,-457.0,215.0
43,practice,cond_prac,0,1,26,targ_class1,-322.0,197.0
43,practice,cond_prac,0,1,27,targ_class2,-202.0,217.0
43,practice,cond_prac,0,1,28,dist_class2,-81.0,195.0
43,practice,cond_prac,0,1,29,dist_class1,80.0,222.0
43,practice,cond_prac,0,1,30,targ_class1,187.0,249.0
43,practice,cond_prac,0,1,31,dist_class2,314.0,233.0
43,practice,cond_prac,0,1,32,targ_class2,461.0,218.0
43,practice,cond_prac,0,1,33,dist_class2,-446.0,463.0
43,practice,cond_prac,0,1,34,targ_class2,-320.0,444.0
43,practice,cond_prac,0,1,35,targ_class1,-198.0,440.0
43,practice,cond_prac,0,1,36,dist_class2,-40.0,392.0
43,practice,cond_prac,0,1,37,targ_class1,70.0,452.0
43,practice,cond_prac,0,1,38,dist_class1,167.0,425.0
43,practice,cond_prac,0,1,39,dist_class1,301.0,421.0
43,practice,cond_prac,0,1,40,targ_class2,447.0,446.0
43,feature_AB,cond_feature_AB,2,1,1,targ_class2,-447.0,-408.0
43,feature_AB,cond_feature_AB,2,1,2,dist_class2,-328.0,-434.0
43,feature_AB,cond_feature_AB,2,1,3,targ_class2,-208.0,-433.0
43,feature_AB,cond_feature_AB,2,1,4,dist_class2,-94.0,-431.0
43,feature_AB,cond_feature_AB,2,1,5,targ_class1,90.0,-403.0
43,feature_AB,cond_feature_AB,2,1,6,dist_class2,221.0,-394.0
43,feature_AB,cond_feature_AB,2,1,7,targ_class2,358.0,-402.0
43,feature_AB,cond_feature_AB,2,1,8,targ_class1,462.0,-447.0
43,feature_AB,cond_feature_AB,2,1,9,dist_class2,-442.0,-255.0
43,feature_AB,cond_feature_AB,2,1,10,targ_class2,-322.0,-204.0
43,feature_AB,cond_feature_AB,2,1,11,dist_class1,-181.0,-218.0
43,feature_AB,cond_feature_AB,2,1,12,dist_class1,-72.0,-227.0
43,feature_AB,cond_feature_AB,2,1,13,targ_class1,76.0,-194.0
43,feature_AB,cond_feature_AB,2,1,14,dist_class2,197.0,-234.0
43,feature_AB,cond_feature_AB,2,1,15,targ_class2,334.0,-226.0
43,feature_AB,cond_feature_AB,2,1,16,dist_class2,461.0,-197.0
43,feature_AB,cond_feature_AB,2,1,17,dist_class1,-416.0,1.0
43,feature_AB,cond_feature_AB,2,1,18,dist_class1,-331.0,13.0
43,feature_AB,cond_feature_AB,2,1,19,targ_class1,-197.0,18.0
43,feature_AB,cond_feature_AB,2,1,20,dist_class2,-70.0,-22.0
43,feature_AB,cond_feature_AB,2,1,21,dist_class1,24.0,7.0
43,feature_AB,cond_feature_AB,2,1,22,targ_class1,203.0,18.0
43,feature_AB,cond_feature_AB,2,1,23,dist_class2,324.0,3.0
43,feature_AB,cond_feature_AB,2,1,24,targ_class1,450.0,13.0
43,feature_AB,cond_feature_AB,2,1,25,targ_class2,-451.0,212.0
43,feature_AB,cond_feature_AB,2,1,26,dist_class1,-345.0,182.0
43,feature_AB,cond_feature_AB,2,1,27,dist_class1,-193.0,214.0
43,feature_AB,cond_feature_AB,2,1,28,targ_class2,-84.0,213.0
43,feature_AB,cond_feature_AB,2,1,29,targ_class2,52.0,217.0
43,feature_AB,cond_feature_AB,2,1,30,dist_class1,226.0,206.0
43,feature_AB,cond_feature_AB,2,1,31,dist_class1,320.0,230.0
43,feature_AB,cond_feature_AB,2,1,32,dist_class1,491.0,194.0
43,feature_AB,cond_feature_AB,2,1,33,dist_class2,-452.0,441.0
43,feature_AB,cond_feature_AB,2,1,34,dist_class2,-307.0,449.0
43,feature_AB,cond_feature_AB,2,1,35,targ_class1,-195.0,422.0
