person,condition,trial,id,found,item_class,x,y,rt,trial_p
1,1,1,16,1,2,0,0.6086956521739131,1.17,1
1,1,1,10,2,2,0.023715415019762844,0.4318181818181818,1.6,1
1,1,1,4,3,2,0.014822134387351778,0.22727272727272727,2.23,1
1,1,1,5,4,2,0.11363636363636363,0.2025691699604743,2.7,1
1,1,1,6,5,2,0.2845849802371542,0.21146245059288538,3.27,1
1,1,1,11,6,2,0.2658102766798419,0.4199604743083004,3.87,1
1,1,1,7,7,2,0.441699604743083,0.18873517786561264,4.6,1
1,1,1,1,8,2,0.25296442687747034,0,5.4,1
1,1,1,3,9,2,0.6274703557312253,0.0029644268774703555,6.37,1
1,1,1,8,10,2,0.682806324110672,0.2183794466403162,6.9,1
1,1,1,14,11,2,0.8152173913043478,0.43774703557312256,7.53,1
1,1,1,15,12,2,0.924901185770751,0.4031620553359684,8.17,1
1,1,1,20,13,2,0.9189723320158103,0.8142292490118577,9.27,1
1,1,1,19,14,2,0.6640316205533597,0.8280632411067194,9.94,1
1,1,1,13,15,1,0.6195652173913043,0.44861660079051385,11.42,1
1,1,1,12,16,1,0.5237154150197628,0.39031620553359686,11.98,1
1,1,1,18,17,1,0.7905138339920948,0.6274703557312253,12.77,1
1,1,1,2,18,1,0.41007905138339923,0,14.37,1
1,1,1,9,19,1,0.9288537549407114,0.2015810276679842,15.4,1
1,1,1,17,20,2,0.40217391304347827,0.6482213438735178,19.28,1
1,1,2,19,1,2,0.05632411067193676,0.8735177865612648,1.14,2
1,1,2,14,2,2,0.15019762845849802,0.6373517786561265,1.77,2
1,1,2,8,3,2,0.14031620553359683,0.4614624505928854,2.4,2
1,1,2,4,4,2,0,0.26383399209486164,2.93,2
1,1,2,10,5,2,0.3606719367588933,0.43379446640316205,3.6,2
1,1,2,11,6,2,0.49604743083003955,0.49407114624505927,4.07,2
1,1,2,15,7,2,0.3942687747035573,0.6314229249011858,4.57,2
1,1,2,16,8,2,0.541501976284585,0.6294466403162056,5.03,2
1,1,2,12,9,2,0.7737154150197628,0.4268774703557312,5.67,2
1,1,2,13,10,2,0.908102766798419,0.39624505928853754,6.1,2
1,1,2,7,11,2,0.924901185770751,0.233201581027668,6.63,2
1,1,2,18,12,2,0.9199604743083004,0.642292490118577,7.2,2
1,1,2,3,13,2,0.7954545454545454,0.024703557312252964,7.77,2
1,1,2,1,14,2,0.4061264822134387,0.010869565217391304,8.83,2
1,1,2,2,15,1,0.6640316205533597,0,9.75,2
1,1,2,6,16,1,0.7885375494071146,0.18873517786561264,10.9,2
1,1,2,17,17,1,0.7519762845849802,0.6541501976284585,12.65,2
1,1,2,20,18,2,0.6531620553359684,0.8754940711462451,13.43,2
1,1,2,9,19,1,0.22134387351778656,0.43873517786561267,14.75,2
