person,block,trial,id,found,class,x,y
1,1,1,1,1,0,0.31797998189294796,0.04639847485555883
1,2,1,1,1,0,0.3726872319648086,0.20125867489810612
1,1,1,2,2,1,0.021605176198244324,0.020045346175991907
1,2,1,2,2,0,0.45344313023094057,0.27346114270701816
1,1,1,3,3,1,0.24001001317039827,0.17466385779412588
1,2,1,3,3,0,0.5506196372596345,0.03184424020436204
1,1,1,4,4,0,0.16626082868102726,0.22655864246583754
1,2,1,4,4,0,0.5222158508929186,0.30800736877257295
1,1,1,5,5,0,0.25266886381183945,0.3433934313816525
1,2,1,5,5,0,0.6287170100483587,0.32645982494397024
1,1,1,6,6,1,0.12138594146831552,0.3539142488585452
1,2,1,6,6,0,0.7698072832578621,0.33724712425754677
1,1,1,7,7,1,0.029044428226318482,0.3531516978412497
1,2,1,7,7,0,0.97353299445221,0.21032074708713996
1,1,1,8,8,1,0.13124783788755837,0.4437865886411892
1,2,1,8,8,0,0.9742366179973851,0.5287241381063656
1,1,1,9,9,1,0.06648104565711989,0.5835367512089629
1,2,1,9,9,0,0.8400050066378796,0.8999687676501873
1,1,1,10,10,0,0.02823692735717178,0.700834499156786
1,2,1,10,10,0,0.730771422778618,0.7904596916651134
1,1,1,11,11,0,0.1254787540711773,0.8284177245405451
1,2,1,11,11,0,0.7733105149842624,0.6920505957006632
1,1,1,12,12,1,0.12629554098685594,0.9899497903021931
1,2,1,12,12,0,0.6740712665921162,0.5600105530414673
1,1,1,13,13,0,0.2464261034013445,0.7071361384925999
1,2,1,13,13,0,0.5526030220631084,0.6566388390361444
1,1,1,14,14,1,0.24691755888732975,0.9016255947288817
1,2,1,14,14,0,0.5464652535021641,0.5231801219960192
1,1,1,15,15,0,0.32871104565100334,0.8032967920650191
1,2,1,15,15,0,0.543194680584281,0.4601853351667512
1,1,1,16,16,0,0.3499835366425061,0.686847153923453
1,2,1,16,16,0,0.45053673471050815,0.5619826671282517
1,1,1,17,17,1,0.3204791170302885,0.5870120857402991
1,2,1,17,17,0,0.17107029982186736,0.4124482956172362
1,1,1,18,18,0,0.32421529629463247,0.472137074145135
1,2,1,18,18,0,0.2409607280725507,0.8417020086692688
1,1,1,19,19,1,0.26293632234663145,0.4125819385075299
1,2,1,19,19,0,0.1610483059897503,0.7830042299330491
1,1,1,20,20,1,0.42887558954210836,0.43232850890068875
1,2,1,20,20,0,0.6608760144157466,0.9619288621922562
1,1,1,21,21,0,0.34316412762967113,0.3050055677845537
1,2,1,21,21,1,0.7739009102766332,0.9539603202984385
1,1,1,22,22,0,0.4306375067922263,0.5658990958829087
1,2,1,22,22,1,0.5659310457313986,0.8417830124952353
1,1,1,23,23,0,0.5262709908770553,0.20052096264271385
1,2,1,23,23,1,0.668799450868848,0.6704899075301662
1,1,1,24,24,0,0.5268755031328027,0.017998838947288997
1,2,1,24,24,1,0.7753676021406443,0.46245904450930647
1,1,1,25,25,1,0.6793692673272861,0.17074596833778047
1,2,1,25,25,1,0.8752569528343306,0.2666556732224908
1,1,1,26,26,1,0.8457337510138371,0.15031228549880105
1,2,1,26,26,1,0.8352320502644771,0.2027373486103583
1,1,1,27,27,1,0.9421790910913412,0.1686345615928195
1,2,1,27,27,1,0.9464793760342232,0.028174773803137904
1,1,1,28,28,0,0.9829836746557841,0.06784130145870323
1,2,1,28,28,1,0.6365366280147111,0.06423026153516367
1,1,1,29,29,1,0.8764311720008496,0.30339111810609676
1,2,1,29,29,1,0.6544862548555667,0.14322992211197721
1,1,1,30,30,1,0.6484903576539321,0.43797222939043723
1,2,1,30,30,1,0.5579367513537925,0.19690459925577605
1,1,1,31,31,0,0.6343335619204792,0.7105647034884575
1,2,1,31,31,1,0.33753092612969954,0.09673620119188489
1,1,1,32,32,1,0.46377388044993895,0.7248931524058072
1,2,1,32,32,1,0.13277140695963094,0.09866786522863578
1,1,1,33,33,0,0.47227309502957077,0.7953048303925968
1,2,1,33,33,1,0.15931428983042287,0.22704918932025026
1,1,1,34,34,1,0.5540468573135423,0.9513308563691543
1,2,1,34,34,1,0.018957930336114107,0.34525728566006875
1,1,1,35,35,0,0.6279403240758239,0.9627328982644998
1,2,1,35,35,1,0.2612198559533134,0.696653148769027
1,1,1,36,36,0,0.7580058361879976,0.929471077822156
1,2,1,36,36,1,0.4630024201386785,0.7259239884654641
1,1,1,37,37,0,0.7490687304396477,0.7199959898382763
1,2,1,37,37,1,0.346575005161722,0.8478862444203488
1,1,1,38,38,1,0.8371858234835164,0.6750121405576683
1,2,1,38,38,1,0.34601412120778346,0.9616567403457451
1,1,1,39,39,0,0.8788165926494652,0.8157665448616089
1,2,1,39,39,1,0.25820688807954095,0.9570696088780238
1,1,1,40,40,1,0.9358359682809128,0.6952956639707795
1,2,1,40,40,1,0.030376000655895734,0.968346308340656
1,1,2,1,1,0,0.044022106062142796,0.05066684304822241
1,2,2,1,1,0,0.05451141508060676,0.01844943651911654
1,1,2,2,2,1,0.1247852772518962,0.16173810863449478
1,2,2,2,2,0,0.26163157751478067,0.20001906497804997
1,1,2,3,3,1,0.24084720670305051,0.16540398586838842
1,2,2,3,3,0,0.6373419682250937,0.03997221185643481
1,1,2,4,4,1,0.32409528345761085,0.017270172105688916
1,2,2,4,4,0,0.6260506285305983,0.17008608286694898
1,1,2,5,5,0,0.5472145412552861,0.15510797344362154
1,2,2,5,5,0,0.9871615069390121,0.26707539193935204
1,1,2,6,6,0,0.6832053844280653,0.09335233349991198
1,2,2,6,6,0,0.8401243167070072,0.31487236878803426
1,1,2,7,7,0,0.7324624861011456,0.13889354499045334
1,2,2,7,7,0,0.9619960589974227,0.6969925846566152
1,1,2,8,8,0,0.7844799791235838,0.28781657102849
1,2,2,8,8,0,0.8851734949170995,0.5944669453596327
1,1,2,9,9,0,0.9777204901488894,0.16640572677733118
1,2,2,9,9,0,0.6713085800680605,0.9806438923428101
1,1,2,10,10,0,0.872790497468362,0.4755504959205322
1,2,2,10,10,0,0.7387009434105246,0.7225023903548445
1,1,2,11,11,0,0.7674104934733883,0.4635833046865795
1,2,2,11,11,0,0.6314536722575065,0.7244914717615579
1,1,2,12,12,1,0.9533673104883863,0.6809440681692555
1,2,2,12,12,0,0.574369338687906,0.5476565340146341
1,1,2,13,13,1,0.9683742178275364,0.9665990114479357
1,2,2,13,13,0,0.5219967377690545,0.4267820403814182
1,1,2,14,14,0,0.8512192697362029,0.9635203823259019
1,2,2,14,14,0,0.37572297810313493,0.4531349952734985
1,1,2,15,15,1,0.7417165312578341,0.9501561913904277
1,2,2,15,15,0,0.13982778099598106,0.3461823813652665
1,1,2,16,16,0,0.7654406614129917,0.8244697072323227
1,2,2,16,16,0,0.1274652486221119,0.5376858798937514
1,1,2,17,17,0,0.6345177697036588,0.725548936399364
1,2,2,17,17,0,0.32579230164375406,0.7215197908414348
1,1,2,18,18,1,0.7639969541109577,0.6583430606985393
1,2,2,18,18,0,0.31935361901752674,0.7773205957112475
1,1,2,19,19,1,0.6523894353947439,0.5808838869052567
1,2,2,19,19,0,0.36085587927041024,0.9074624228855113
1,1,2,20,20,1,0.650189401697317,0.4014421185126088
1,2,2,20,20,0,0.43498833936308806,0.8370618651315511
1,1,2,21,21,1,0.6421876558091353,0.34336187317859496
1,2,2,21,21,1,0.9840125727100764,0.9146538055959562
1,1,2,22,22,1,0.25287679673892793,0.34076156386066564
1,2,2,22,22,1,0.9633438172144477,0.8536463347992694
1,1,2,23,23,1,0.23361727078110553,0.40173452316111746
1,2,2,23,23,1,0.8741510363935999,0.85041473101195
1,1,2,24,24,1,0.12571951702060893,0.2832679210997766
1,2,2,24,24,1,0.6579322877412542,0.8105092144938081
1,1,2,25,25,0,0.21739492794286883,0.5901108465214884
1,2,2,25,25,1,0.5707517321174068,0.8231752400093416
1,1,2,26,26,0,0.2609375711317372,0.6670612361653698
1,2,2,26,26,1,0.5406077532757576,0.9205233084942526
1,1,2,27,27,0,0.32137970836946944,0.5943804834264999
